[2026-06-17T10:17:45.749+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-17T10:17:45.779+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [queued]>
[2026-06-17T10:17:45.791+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [queued]>
[2026-06-17T10:17:45.792+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-17T10:17:45.814+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-17 10:17:44.303386+00:00
[2026-06-17T10:17:45.825+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2257) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-17T10:17:45.828+0000] {standard_task_runner.py:72} INFO - Started process 2258 to run task
[2026-06-17T10:17:45.824+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'manual__2026-06-17T10:17:44.303386+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpzyx4tzay']
[2026-06-17T10:17:45.829+0000] {standard_task_runner.py:105} INFO - Job 15: Subtask incremental_sync_pipeline
[2026-06-17T10:17:45.911+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-17T10:17:44.303386+00:00 [running]> on host d8c53ec118ae
[2026-06-17T10:17:46.053+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-17T10:17:44.303386+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-17T10:17:44.303386+00:00'
[2026-06-17T10:17:46.055+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-17T10:17:46.090+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-16 → 2026-06-17...
[2026-06-17T10:17:46.101+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-16 -> 2026-06-17
[2026-06-17T10:17:59.577+0000] {logging_mixin.py:190} INFO - Found 4954 changed IDs. Syncing metadata...
[2026-06-17T10:18:01.466+0000] {logging_mixin.py:190} INFO - Skipping movie 1147007: could not fetch metadata.
[2026-06-17T10:18:02.151+0000] {logging_mixin.py:190} INFO - Skipping movie 1409182: could not fetch metadata.
[2026-06-17T10:18:10.452+0000] {logging_mixin.py:190} INFO - Skipping movie 427066: could not fetch metadata.
[2026-06-17T10:18:10.925+0000] {logging_mixin.py:190} INFO - Skipping movie 1508510: could not fetch metadata.
[2026-06-17T10:18:13.284+0000] {logging_mixin.py:190} INFO - Skipping movie 1476169: could not fetch metadata.
[2026-06-17T10:18:17.428+0000] {logging_mixin.py:190} INFO - Skipping movie 1640775: could not fetch metadata.
[2026-06-17T10:18:20.857+0000] {logging_mixin.py:190} INFO - Skipping movie 1182743: could not fetch metadata.
[2026-06-17T10:18:21.134+0000] {logging_mixin.py:190} INFO - Skipping movie 1510489: could not fetch metadata.
[2026-06-17T10:18:22.086+0000] {logging_mixin.py:190} INFO - Skipping movie 396471: could not fetch metadata.
[2026-06-17T10:18:28.089+0000] {logging_mixin.py:190} INFO - Skipping movie 528718: could not fetch metadata.
[2026-06-17T10:18:31.675+0000] {logging_mixin.py:190} INFO - Skipping movie 1708980: could not fetch metadata.
[2026-06-17T10:18:31.937+0000] {logging_mixin.py:190} INFO - Skipping movie 1709024: could not fetch metadata.
[2026-06-17T10:18:31.983+0000] {logging_mixin.py:190} INFO - Skipping movie 1709014: could not fetch metadata.
[2026-06-17T10:18:32.828+0000] {logging_mixin.py:190} INFO - Skipping movie 1709166: could not fetch metadata.
[2026-06-17T10:18:33.171+0000] {logging_mixin.py:190} INFO - Skipping movie 1709197: could not fetch metadata.
[2026-06-17T10:18:33.177+0000] {logging_mixin.py:190} INFO - Skipping movie 1709194: could not fetch metadata.
[2026-06-17T10:18:33.185+0000] {logging_mixin.py:190} INFO - Skipping movie 1709199: could not fetch metadata.
[2026-06-17T10:18:33.249+0000] {logging_mixin.py:190} INFO - Skipping movie 1545220: could not fetch metadata.
[2026-06-17T10:18:37.633+0000] {logging_mixin.py:190} INFO - Skipping movie 1709992: could not fetch metadata.
[2026-06-17T10:18:41.616+0000] {logging_mixin.py:190} INFO - Skipping movie 1710844: could not fetch metadata.
