[2026-06-24T09:40:27.547+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-24T09:40:27.576+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-24T09:40:26.204122+00:00 [queued]>
[2026-06-24T09:40:27.590+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-24T09:40:26.204122+00:00 [queued]>
[2026-06-24T09:40:27.591+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-24T09:40:27.615+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-24 09:40:26.204122+00:00
[2026-06-24T09:40:27.632+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=215) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-24T09:40:27.636+0000] {standard_task_runner.py:72} INFO - Started process 216 to run task
[2026-06-24T09:40:27.631+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'manual__2026-06-24T09:40:26.204122+00:00', '--job-id', '25', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpdrqadtma']
[2026-06-24T09:40:27.638+0000] {standard_task_runner.py:105} INFO - Job 25: Subtask incremental_sync_pipeline
[2026-06-24T09:40:27.755+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-06-24T09:40:26.204122+00:00 [running]> on host d8c53ec118ae
[2026-06-24T09:40:27.927+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-24T09:40:26.204122+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-06-24T09:40:26.204122+00:00'
[2026-06-24T09:40:27.929+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-24T09:40:28.012+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-17 → 2026-06-24...
[2026-06-24T09:40:28.027+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-17 -> 2026-06-23
[2026-06-24T09:46:21.758+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-24 -> 2026-06-24
[2026-06-24T09:46:29.022+0000] {logging_mixin.py:190} INFO - Found 27974 changed IDs. Syncing metadata...
[2026-06-24T09:46:30.375+0000] {logging_mixin.py:190} INFO - Skipping movie 1048597: could not fetch metadata.
[2026-06-24T09:46:30.386+0000] {logging_mixin.py:190} INFO - Skipping movie 1703937: could not fetch metadata.
[2026-06-24T09:46:45.037+0000] {logging_mixin.py:190} INFO - Skipping movie 1704328: could not fetch metadata.
[2026-06-24T09:46:45.693+0000] {logging_mixin.py:190} INFO - Skipping movie 1719483: could not fetch metadata.
[2026-06-24T09:46:45.815+0000] {logging_mixin.py:190} INFO - Skipping movie 393616: could not fetch metadata.
[2026-06-24T09:46:46.716+0000] {logging_mixin.py:190} INFO - Skipping movie 1704367: could not fetch metadata.
[2026-06-24T09:46:48.042+0000] {logging_mixin.py:190} INFO - Skipping movie 655821: could not fetch metadata.
[2026-06-24T09:46:57.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1180315: could not fetch metadata.
[2026-06-24T09:47:02.003+0000] {logging_mixin.py:190} INFO - Skipping movie 1719564: could not fetch metadata.
[2026-06-24T09:47:06.785+0000] {logging_mixin.py:190} INFO - Skipping movie 1704777: could not fetch metadata.
[2026-06-24T09:47:06.787+0000] {logging_mixin.py:190} INFO - Skipping movie 1704789: could not fetch metadata.
[2026-06-24T09:47:12.436+0000] {logging_mixin.py:190} INFO - Skipping movie 1180575: could not fetch metadata.
[2026-06-24T09:47:17.804+0000] {logging_mixin.py:190} INFO - Skipping movie 1704954: could not fetch metadata.
[2026-06-24T09:47:17.861+0000] {logging_mixin.py:190} INFO - Skipping movie 1704976: could not fetch metadata.
[2026-06-24T09:47:18.455+0000] {logging_mixin.py:190} INFO - Skipping movie 1704989: could not fetch metadata.
[2026-06-24T09:47:18.485+0000] {logging_mixin.py:190} INFO - Skipping movie 1180703: could not fetch metadata.
[2026-06-24T09:47:18.556+0000] {logging_mixin.py:190} INFO - Skipping movie 1704999: could not fetch metadata.
[2026-06-24T09:47:18.756+0000] {logging_mixin.py:190} INFO - Skipping movie 1180728: could not fetch metadata.
[2026-06-24T09:47:19.175+0000] {logging_mixin.py:190} INFO - Skipping movie 1180752: could not fetch metadata.
