[2026-08-03T21:17:21.431+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-08-03T21:17:21.553+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-08-03T21:17:19.726977+00:00 [queued]>
[2026-08-03T21:17:21.620+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-08-03T21:17:19.726977+00:00 [queued]>
[2026-08-03T21:17:21.622+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-08-03T21:17:21.660+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-08-03 21:17:19.726977+00:00
[2026-08-03T21:17:21.680+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=314) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-03T21:17:21.678+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'manual__2026-08-03T21:17:19.726977+00:00', '--job-id', '151', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp_9dd_r7x']
[2026-08-03T21:17:21.685+0000] {standard_task_runner.py:72} INFO - Started process 315 to run task
[2026-08-03T21:17:21.687+0000] {standard_task_runner.py:105} INFO - Job 151: Subtask incremental_sync_pipeline
[2026-08-03T21:17:21.836+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline manual__2026-08-03T21:17:19.726977+00:00 [running]> on host bf737cb27ceb
[2026-08-03T21:17:22.020+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-08-03T21:17:19.726977+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-08-03T21:17:19.726977+00:00'
[2026-08-03T21:17:22.022+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-08-03T21:17:22.161+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-22 → 2026-08-03...
[2026-08-03T21:17:22.172+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-22 -> 2026-07-28
[2026-08-03T21:18:45.494+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-29 -> 2026-08-03
[2026-08-03T21:20:04.894+0000] {logging_mixin.py:190} INFO - Found 43831 changed IDs. Syncing metadata...
[2026-08-03T21:20:11.045+0000] {logging_mixin.py:190} INFO - Skipping movie 1573038: could not fetch metadata.
[2026-08-03T21:20:11.149+0000] {logging_mixin.py:190} INFO - Skipping movie 1704116: could not fetch metadata.
[2026-08-03T21:20:11.319+0000] {logging_mixin.py:190} INFO - Skipping movie 1573050: could not fetch metadata.
[2026-08-03T21:20:12.765+0000] {logging_mixin.py:190} INFO - Skipping movie 1573075: could not fetch metadata.
[2026-08-03T21:20:16.320+0000] {logging_mixin.py:190} INFO - Skipping movie 1573195: could not fetch metadata.
[2026-08-03T21:20:16.626+0000] {logging_mixin.py:190} INFO - Skipping movie 1704275: could not fetch metadata.
[2026-08-03T21:20:19.208+0000] {logging_mixin.py:190} INFO - Skipping movie 1573288: could not fetch metadata.
[2026-08-03T21:20:23.957+0000] {logging_mixin.py:190} INFO - Skipping movie 1180271: could not fetch metadata.
[2026-08-03T21:20:33.582+0000] {logging_mixin.py:190} INFO - Skipping movie 1311636: could not fetch metadata.
[2026-08-03T21:20:37.638+0000] {logging_mixin.py:190} INFO - Skipping movie 1442836: could not fetch metadata.
[2026-08-03T21:20:38.036+0000] {logging_mixin.py:190} INFO - Skipping movie 1704988: could not fetch metadata.
[2026-08-03T21:20:38.236+0000] {logging_mixin.py:190} INFO - Skipping movie 1705016: could not fetch metadata.
[2026-08-03T21:20:38.687+0000] {logging_mixin.py:190} INFO - Skipping movie 1705041: could not fetch metadata.
[2026-08-03T21:20:39.547+0000] {logging_mixin.py:190} INFO - Skipping movie 1705047: could not fetch metadata.
[2026-08-03T21:20:39.814+0000] {logging_mixin.py:190} INFO - Skipping movie 1705108: could not fetch metadata.
[2026-08-03T21:20:42.276+0000] {logging_mixin.py:190} INFO - Skipping movie 1574214: could not fetch metadata.
[2026-08-03T21:20:46.061+0000] {logging_mixin.py:190} INFO - Skipping movie 1574414: could not fetch metadata.
[2026-08-03T21:20:47.230+0000] {logging_mixin.py:190} INFO - Skipping movie 1443379: could not fetch metadata.
[2026-08-03T21:20:47.586+0000] {logging_mixin.py:190} INFO - Skipping movie 263729: could not fetch metadata.
[2026-08-03T21:20:48.259+0000] {logging_mixin.py:190} INFO - Skipping movie 1705567: could not fetch metadata.
[2026-08-03T21:20:48.650+0000] {logging_mixin.py:190} INFO - Skipping movie 1443440: could not fetch metadata.
[2026-08-03T21:20:49.024+0000] {logging_mixin.py:190} INFO - Skipping movie 1181328: could not fetch metadata.
[2026-08-03T21:20:49.247+0000] {logging_mixin.py:190} INFO - Skipping movie 1574522: could not fetch metadata.
[2026-08-03T21:20:49.516+0000] {logging_mixin.py:190} INFO - Skipping movie 1574525: could not fetch metadata.
[2026-08-03T21:20:50.697+0000] {logging_mixin.py:190} INFO - Skipping movie 1443529: could not fetch metadata.
[2026-08-03T21:20:53.015+0000] {logging_mixin.py:190} INFO - Skipping movie 657201: could not fetch metadata.
[2026-08-03T21:20:55.236+0000] {logging_mixin.py:190} INFO - Skipping movie 1705883: could not fetch metadata.
[2026-08-03T21:20:55.983+0000] {logging_mixin.py:190} INFO - Skipping movie 1574841: could not fetch metadata.
[2026-08-03T21:20:56.870+0000] {logging_mixin.py:190} INFO - Skipping movie 1705946: could not fetch metadata.
[2026-08-03T21:21:01.364+0000] {logging_mixin.py:190} INFO - Skipping movie 1575051: could not fetch metadata.
[2026-08-03T21:21:01.916+0000] {logging_mixin.py:190} INFO - Skipping movie 1443995: could not fetch metadata.
[2026-08-03T21:21:02.522+0000] {logging_mixin.py:190} INFO - Skipping movie 1312982: could not fetch metadata.
[2026-08-03T21:21:02.551+0000] {logging_mixin.py:190} INFO - Skipping movie 1312984: could not fetch metadata.
[2026-08-03T21:21:02.552+0000] {logging_mixin.py:190} INFO - Skipping movie 1312985: could not fetch metadata.
[2026-08-03T21:21:02.563+0000] {logging_mixin.py:190} INFO - Skipping movie 1312986: could not fetch metadata.
[2026-08-03T21:21:05.197+0000] {logging_mixin.py:190} INFO - Skipping movie 1444206: could not fetch metadata.
[2026-08-03T21:21:05.821+0000] {logging_mixin.py:190} INFO - Skipping movie 1706390: could not fetch metadata.
[2026-08-03T21:21:07.417+0000] {logging_mixin.py:190} INFO - Skipping movie 1313259: could not fetch metadata.
[2026-08-03T21:21:08.154+0000] {logging_mixin.py:190} INFO - Skipping movie 1575501: could not fetch metadata.
[2026-08-03T21:21:08.160+0000] {logging_mixin.py:190} INFO - Skipping movie 1444430: could not fetch metadata.
[2026-08-03T21:21:08.247+0000] {logging_mixin.py:190} INFO - Skipping movie 264783: could not fetch metadata.
[2026-08-03T21:21:08.428+0000] {logging_mixin.py:190} INFO - Skipping movie 1706588: could not fetch metadata.
[2026-08-03T21:21:09.249+0000] {logging_mixin.py:190} INFO - Skipping movie 1706608: could not fetch metadata.
[2026-08-03T21:21:09.609+0000] {logging_mixin.py:190} INFO - Skipping movie 1706603: could not fetch metadata.
[2026-08-03T21:21:10.068+0000] {logging_mixin.py:190} INFO - Skipping movie 1575574: could not fetch metadata.
[2026-08-03T21:21:10.605+0000] {logging_mixin.py:190} INFO - Skipping movie 1706684: could not fetch metadata.
[2026-08-03T21:21:10.619+0000] {logging_mixin.py:190} INFO - Skipping movie 1706687: could not fetch metadata.
[2026-08-03T21:21:11.293+0000] {logging_mixin.py:190} INFO - Skipping movie 789217: could not fetch metadata.
[2026-08-03T21:21:11.408+0000] {logging_mixin.py:190} INFO - Skipping movie 1444580: could not fetch metadata.
[2026-08-03T21:21:11.914+0000] {logging_mixin.py:190} INFO - Skipping movie 1444653: could not fetch metadata.
[2026-08-03T21:21:16.812+0000] {logging_mixin.py:190} INFO - Skipping movie 1051731: could not fetch metadata.
[2026-08-03T21:21:17.970+0000] {logging_mixin.py:190} INFO - Skipping movie 1313968: could not fetch metadata.
