[2026-06-18T07:25:00.293+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-18T07:25:00.337+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-17T00:00:00+00:00 [queued]>
[2026-06-18T07:25:00.352+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-17T00:00:00+00:00 [queued]>
[2026-06-18T07:25:00.353+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-18T07:25:00.378+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-17 00:00:00+00:00
[2026-06-18T07:25:00.401+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=10154) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-18T07:25:00.399+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-17T00:00:00+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpihyidvk_']
[2026-06-18T07:25:00.402+0000] {standard_task_runner.py:72} INFO - Started process 10159 to run task
[2026-06-18T07:25:00.403+0000] {standard_task_runner.py:105} INFO - Job 17: Subtask incremental_sync_pipeline
[2026-06-18T07:25:00.493+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-17T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-06-18T07:25:00.770+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-17T00:00:00+00:00'
[2026-06-18T07:25:00.781+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-18T07:25:00.992+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-05-15 → 2026-06-18...
[2026-06-18T07:25:01.178+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-15 -> 2026-05-21
[2026-06-18T07:26:29.085+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-22 -> 2026-05-28
[2026-06-18T07:27:52.222+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-05-29 -> 2026-06-04
[2026-06-18T07:29:43.434+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-05 -> 2026-06-11
[2026-06-18T07:31:02.841+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-12 -> 2026-06-18
[2026-06-18T07:32:06.806+0000] {logging_mixin.py:190} INFO - Found 105609 changed IDs. Syncing metadata...
[2026-06-18T07:32:25.571+0000] {logging_mixin.py:190} INFO - Skipping movie 1573274: could not fetch metadata.
[2026-06-18T07:32:27.477+0000] {logging_mixin.py:190} INFO - Skipping movie 1573319: could not fetch metadata.
[2026-06-18T07:32:35.832+0000] {logging_mixin.py:190} INFO - Skipping movie 1311416: could not fetch metadata.
[2026-06-18T07:32:37.848+0000] {logging_mixin.py:190} INFO - Skipping movie 1573613: could not fetch metadata.
[2026-06-18T07:32:38.410+0000] {logging_mixin.py:190} INFO - Skipping movie 1311502: could not fetch metadata.
[2026-06-18T07:32:39.369+0000] {logging_mixin.py:190} INFO - Skipping movie 1311527: could not fetch metadata.
[2026-06-18T07:32:46.442+0000] {logging_mixin.py:190} INFO - Skipping movie 1573839: could not fetch metadata.
[2026-06-18T07:32:47.728+0000] {logging_mixin.py:190} INFO - Skipping movie 1049629: could not fetch metadata.
[2026-06-18T07:32:48.361+0000] {logging_mixin.py:190} INFO - Skipping movie 1573907: could not fetch metadata.
[2026-06-18T07:32:50.369+0000] {logging_mixin.py:190} INFO - Skipping movie 1574071: could not fetch metadata.
[2026-06-18T07:33:10.733+0000] {logging_mixin.py:190} INFO - Skipping movie 1574874: could not fetch metadata.
[2026-06-18T07:33:11.748+0000] {logging_mixin.py:190} INFO - Skipping movie 1574917: could not fetch metadata.
[2026-06-18T07:33:13.619+0000] {logging_mixin.py:190} INFO - Skipping movie 1574995: could not fetch metadata.
[2026-06-18T07:33:16.974+0000] {logging_mixin.py:190} INFO - Skipping movie 1313007: could not fetch metadata.
[2026-06-18T07:33:24.627+0000] {logging_mixin.py:190} INFO - Skipping movie 1313430: could not fetch metadata.
[2026-06-18T07:33:26.194+0000] {logging_mixin.py:190} INFO - Skipping movie 1051358: could not fetch metadata.
[2026-06-18T07:33:28.772+0000] {logging_mixin.py:190} INFO - Skipping movie 1575795: could not fetch metadata.
[2026-06-18T07:33:28.915+0000] {logging_mixin.py:190} INFO - Skipping movie 1575802: could not fetch metadata.
[2026-06-18T07:33:28.974+0000] {logging_mixin.py:190} INFO - Skipping movie 1575805: could not fetch metadata.
[2026-06-18T07:33:33.149+0000] {logging_mixin.py:190} INFO - Skipping movie 527397: could not fetch metadata.
[2026-06-18T07:33:35.557+0000] {logging_mixin.py:190} INFO - Skipping movie 1313946: could not fetch metadata.
[2026-06-18T07:33:41.335+0000] {logging_mixin.py:190} INFO - Skipping movie 1314343: could not fetch metadata.
[2026-06-18T07:33:43.462+0000] {logging_mixin.py:190} INFO - Skipping movie 1576677: could not fetch metadata.
[2026-06-18T07:33:43.748+0000] {logging_mixin.py:190} INFO - Skipping movie 1314569: could not fetch metadata.
[2026-06-18T07:33:46.637+0000] {logging_mixin.py:190} INFO - Skipping movie 1576901: could not fetch metadata.
[2026-06-18T07:33:48.435+0000] {logging_mixin.py:190} INFO - Skipping movie 790606: could not fetch metadata.
[2026-06-18T07:33:51.962+0000] {logging_mixin.py:190} INFO - Skipping movie 1052983: could not fetch metadata.
[2026-06-18T07:33:52.459+0000] {logging_mixin.py:190} INFO - Skipping movie 528718: could not fetch metadata.
[2026-06-18T07:33:58.389+0000] {logging_mixin.py:190} INFO - Skipping movie 529035: could not fetch metadata.
[2026-06-18T07:33:59.239+0000] {logging_mixin.py:190} INFO - Skipping movie 1577665: could not fetch metadata.
[2026-06-18T07:34:07.330+0000] {logging_mixin.py:190} INFO - Skipping movie 1578103: could not fetch metadata.
[2026-06-18T07:34:11.691+0000] {logging_mixin.py:190} INFO - Skipping movie 1578417: could not fetch metadata.
[2026-06-18T07:34:12.049+0000] {logging_mixin.py:190} INFO - Skipping movie 1578444: could not fetch metadata.
[2026-06-18T07:34:12.660+0000] {logging_mixin.py:190} INFO - Skipping movie 1578514: could not fetch metadata.
[2026-06-18T07:34:14.097+0000] {logging_mixin.py:190} INFO - Skipping movie 1054307: could not fetch metadata.
[2026-06-18T07:34:14.912+0000] {logging_mixin.py:190} INFO - Skipping movie 1316515: could not fetch metadata.
[2026-06-18T07:34:16.391+0000] {logging_mixin.py:190} INFO - Skipping movie 1054470: could not fetch metadata.
