[2026-06-24T09:44:15.918+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-24T09:44:15.953+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-18T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.969+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-18T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.970+0000] {taskinstance.py:2856} INFO - Starting attempt 3 of 3
[2026-06-24T09:44:15.992+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-18 00:00:00+00:00
[2026-06-24T09:44:16.009+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-18T00:00:00+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpqbdbylr0']
[2026-06-24T09:44:16.014+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=298) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-24T09:44:16.019+0000] {standard_task_runner.py:105} INFO - Job 28: Subtask incremental_sync_pipeline
[2026-06-24T09:44:16.019+0000] {standard_task_runner.py:72} INFO - Started process 304 to run task
[2026-06-24T09:44:16.157+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-18T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-06-24T09:44:16.383+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-18T00:00:00+00:00'
[2026-06-24T09:44:16.385+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-24T09:44:16.431+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-17 → 2026-06-24...
[2026-06-24T09:44:16.450+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-17 -> 2026-06-23
[2026-06-24T09:46:52.099+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-24 -> 2026-06-24
[2026-06-24T09:46:59.564+0000] {logging_mixin.py:190} INFO - Found 27974 changed IDs. Syncing metadata...
[2026-06-24T09:47:01.310+0000] {logging_mixin.py:190} INFO - Skipping movie 1703937: could not fetch metadata.
[2026-06-24T09:47:01.265+0000] {logging_mixin.py:190} INFO - Skipping movie 1048597: could not fetch metadata.
[2026-06-24T09:47:21.558+0000] {logging_mixin.py:190} INFO - Skipping movie 1704328: could not fetch metadata.
[2026-06-24T09:47:21.881+0000] {logging_mixin.py:190} INFO - Skipping movie 1719483: could not fetch metadata.
[2026-06-24T09:47:22.099+0000] {logging_mixin.py:190} INFO - Skipping movie 393616: could not fetch metadata.
[2026-06-24T09:47:23.091+0000] {logging_mixin.py:190} INFO - Skipping movie 1704367: could not fetch metadata.
[2026-06-24T09:47:24.055+0000] {logging_mixin.py:190} INFO - Skipping movie 655821: could not fetch metadata.
[2026-06-24T09:47:34.137+0000] {logging_mixin.py:190} INFO - Skipping movie 1180315: could not fetch metadata.
[2026-06-24T09:47:37.691+0000] {logging_mixin.py:190} INFO - Skipping movie 1719564: could not fetch metadata.
[2026-06-24T09:47:39.191+0000] {logging_mixin.py:190} INFO - Skipping movie 1704777: could not fetch metadata.
[2026-06-24T09:47:39.331+0000] {logging_mixin.py:190} INFO - Skipping movie 1704789: could not fetch metadata.
[2026-06-24T09:47:41.462+0000] {logging_mixin.py:190} INFO - Skipping movie 1180575: could not fetch metadata.
[2026-06-24T09:47:43.870+0000] {logging_mixin.py:190} INFO - Skipping movie 1704954: could not fetch metadata.
[2026-06-24T09:47:44.018+0000] {logging_mixin.py:190} INFO - Skipping movie 1704976: could not fetch metadata.
[2026-06-24T09:47:44.242+0000] {logging_mixin.py:190} INFO - Skipping movie 1704989: could not fetch metadata.
[2026-06-24T09:47:44.321+0000] {logging_mixin.py:190} INFO - Skipping movie 1180703: could not fetch metadata.
[2026-06-24T09:47:44.329+0000] {logging_mixin.py:190} INFO - Skipping movie 1704999: could not fetch metadata.
[2026-06-24T09:47:44.541+0000] {logging_mixin.py:190} INFO - Skipping movie 1180728: could not fetch metadata.
[2026-06-24T09:47:44.816+0000] {logging_mixin.py:190} INFO - Skipping movie 1180752: could not fetch metadata.
[2026-06-24T09:47:45.196+0000] {logging_mixin.py:190} INFO - Skipping movie 1180769: could not fetch metadata.
[2026-06-24T09:47:45.209+0000] {logging_mixin.py:190} INFO - Skipping movie 1311853: could not fetch metadata.
[2026-06-24T09:47:45.310+0000] {logging_mixin.py:190} INFO - Skipping movie 1180759: could not fetch metadata.
[2026-06-24T09:47:45.911+0000] {logging_mixin.py:190} INFO - Skipping movie 1719641: could not fetch metadata.
[2026-06-24T09:47:46.075+0000] {logging_mixin.py:190} INFO - Skipping movie 1719645: could not fetch metadata.
[2026-06-24T09:47:46.856+0000] {logging_mixin.py:190} INFO - Skipping movie 1705195: could not fetch metadata.
[2026-06-24T09:47:48.169+0000] {logging_mixin.py:190} INFO - Skipping movie 1180993: could not fetch metadata.
[2026-06-24T09:47:48.212+0000] {logging_mixin.py:190} INFO - Skipping movie 1181003: could not fetch metadata.
[2026-06-24T09:47:48.272+0000] {logging_mixin.py:190} INFO - Skipping movie 1705298: could not fetch metadata.
[2026-06-24T09:47:48.383+0000] {logging_mixin.py:190} INFO - Skipping movie 1181012: could not fetch metadata.
[2026-06-24T09:47:48.477+0000] {logging_mixin.py:190} INFO - Skipping movie 1705301: could not fetch metadata.
[2026-06-24T09:47:49.160+0000] {logging_mixin.py:190} INFO - Skipping movie 1181042: could not fetch metadata.
[2026-06-24T09:47:49.967+0000] {logging_mixin.py:190} INFO - Skipping movie 1705414: could not fetch metadata.
[2026-06-24T09:47:50.001+0000] {logging_mixin.py:190} INFO - Skipping movie 1181134: could not fetch metadata.
[2026-06-24T09:47:51.988+0000] {logging_mixin.py:190} INFO - Skipping movie 1705529: could not fetch metadata.
[2026-06-24T09:47:52.145+0000] {logging_mixin.py:190} INFO - Skipping movie 1705541: could not fetch metadata.
[2026-06-24T09:47:52.332+0000] {logging_mixin.py:190} INFO - Skipping movie 1719724: could not fetch metadata.
[2026-06-24T09:47:55.011+0000] {logging_mixin.py:190} INFO - Skipping movie 1705635: could not fetch metadata.
[2026-06-24T09:47:55.121+0000] {logging_mixin.py:190} INFO - Skipping movie 1312428: could not fetch metadata.
[2026-06-24T09:47:58.540+0000] {logging_mixin.py:190} INFO - Skipping movie 1719765: could not fetch metadata.
[2026-06-24T09:48:03.168+0000] {logging_mixin.py:190} INFO - Skipping movie 1181671: could not fetch metadata.
[2026-06-24T09:48:03.253+0000] {logging_mixin.py:190} INFO - Skipping movie 1181680: could not fetch metadata.
[2026-06-24T09:48:03.296+0000] {logging_mixin.py:190} INFO - Skipping movie 1181682: could not fetch metadata.
[2026-06-24T09:48:03.777+0000] {logging_mixin.py:190} INFO - Skipping movie 1574910: could not fetch metadata.
[2026-06-24T09:48:03.781+0000] {logging_mixin.py:190} INFO - Skipping movie 1181686: could not fetch metadata.
[2026-06-24T09:48:04.735+0000] {logging_mixin.py:190} INFO - Skipping movie 657452: could not fetch metadata.
[2026-06-24T09:48:05.492+0000] {logging_mixin.py:190} INFO - Skipping movie 1719829: could not fetch metadata.
[2026-06-24T09:48:13.397+0000] {logging_mixin.py:190} INFO - Skipping movie 1182491: could not fetch metadata.
[2026-06-24T09:48:13.921+0000] {logging_mixin.py:190} INFO - Skipping movie 1182510: could not fetch metadata.
[2026-06-24T09:48:14.306+0000] {logging_mixin.py:190} INFO - Skipping movie 1182556: could not fetch metadata.
[2026-06-24T09:48:14.554+0000] {logging_mixin.py:190} INFO - Skipping movie 1706858: could not fetch metadata.
[2026-06-24T09:48:24.020+0000] {logging_mixin.py:190} INFO - Skipping movie 1445636: could not fetch metadata.
[2026-06-24T09:48:24.150+0000] {logging_mixin.py:190} INFO - Skipping movie 1707787: could not fetch metadata.
[2026-06-24T09:48:27.145+0000] {logging_mixin.py:190} INFO - Skipping movie 1183827: could not fetch metadata.
[2026-06-24T09:48:28.986+0000] {logging_mixin.py:190} INFO - Skipping movie 1708266: could not fetch metadata.
[2026-06-24T09:48:29.790+0000] {logging_mixin.py:190} INFO - Skipping movie 1708310: could not fetch metadata.
[2026-06-24T09:48:30.323+0000] {logging_mixin.py:190} INFO - Skipping movie 1446180: could not fetch metadata.
[2026-06-24T09:48:30.614+0000] {logging_mixin.py:190} INFO - Skipping movie 1708337: could not fetch metadata.
[2026-06-24T09:48:30.768+0000] {logging_mixin.py:190} INFO - Skipping movie 1708344: could not fetch metadata.
[2026-06-24T09:48:31.529+0000] {logging_mixin.py:190} INFO - Skipping movie 1708354: could not fetch metadata.
[2026-06-24T09:48:31.563+0000] {logging_mixin.py:190} INFO - Skipping movie 1708369: could not fetch metadata.
[2026-06-24T09:48:32.560+0000] {logging_mixin.py:190} INFO - Skipping movie 1719515: could not fetch metadata.
[2026-06-24T09:48:35.742+0000] {logging_mixin.py:190} INFO - Skipping movie 1708582: could not fetch metadata.
[2026-06-24T09:48:41.156+0000] {logging_mixin.py:190} INFO - Skipping movie 1708842: could not fetch metadata.
[2026-06-24T09:48:43.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1184680: could not fetch metadata.
[2026-06-24T09:48:43.738+0000] {logging_mixin.py:190} INFO - Skipping movie 1184690: could not fetch metadata.
[2026-06-24T09:48:46.204+0000] {logging_mixin.py:190} INFO - Skipping movie 1709272: could not fetch metadata.
[2026-06-24T09:48:46.788+0000] {logging_mixin.py:190} INFO - Skipping movie 1447164: could not fetch metadata.
[2026-06-24T09:48:48.848+0000] {logging_mixin.py:190} INFO - Skipping movie 1709512: could not fetch metadata.
[2026-06-24T09:48:54.353+0000] {logging_mixin.py:190} INFO - Skipping movie 1447586: could not fetch metadata.
[2026-06-24T09:49:01.237+0000] {logging_mixin.py:190} INFO - Skipping movie 1710421: could not fetch metadata.
[2026-06-24T09:49:06.868+0000] {logging_mixin.py:190} INFO - Skipping movie 1710912: could not fetch metadata.
[2026-06-24T09:49:07.125+0000] {logging_mixin.py:190} INFO - Skipping movie 1710925: could not fetch metadata.
[2026-06-24T09:49:07.185+0000] {logging_mixin.py:190} INFO - Skipping movie 1710933: could not fetch metadata.
[2026-06-24T09:49:07.403+0000] {logging_mixin.py:190} INFO - Skipping movie 1710973: could not fetch metadata.
[2026-06-24T09:49:07.429+0000] {logging_mixin.py:190} INFO - Skipping movie 1710970: could not fetch metadata.
[2026-06-24T09:49:07.766+0000] {logging_mixin.py:190} INFO - Skipping movie 793502: could not fetch metadata.
[2026-06-24T09:49:09.510+0000] {logging_mixin.py:190} INFO - Skipping movie 1711197: could not fetch metadata.
[2026-06-24T09:49:09.650+0000] {logging_mixin.py:190} INFO - Skipping movie 1711211: could not fetch metadata.
[2026-06-24T09:49:10.453+0000] {logging_mixin.py:190} INFO - Skipping movie 662706: could not fetch metadata.
[2026-06-24T09:49:10.526+0000] {logging_mixin.py:190} INFO - Skipping movie 662704: could not fetch metadata.
[2026-06-24T09:49:10.530+0000] {logging_mixin.py:190} INFO - Skipping movie 662703: could not fetch metadata.
[2026-06-24T09:49:10.936+0000] {logging_mixin.py:190} INFO - Skipping movie 662725: could not fetch metadata.
[2026-06-24T09:49:13.569+0000] {logging_mixin.py:190} INFO - Skipping movie 1711593: could not fetch metadata.
[2026-06-24T09:49:16.223+0000] {logging_mixin.py:190} INFO - Skipping movie 1711811: could not fetch metadata.
[2026-06-24T09:49:16.297+0000] {logging_mixin.py:190} INFO - Skipping movie 1711825: could not fetch metadata.
[2026-06-24T09:49:17.236+0000] {logging_mixin.py:190} INFO - Skipping movie 1711901: could not fetch metadata.
[2026-06-24T09:49:17.425+0000] {logging_mixin.py:190} INFO - Skipping movie 1711905: could not fetch metadata.
[2026-06-24T09:49:18.766+0000] {logging_mixin.py:190} INFO - Skipping movie 1712013: could not fetch metadata.
