[2026-06-24T09:44:15.917+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-24T09:44:15.951+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-23T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.967+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-23T00:00:00+00:00 [queued]>
[2026-06-24T09:44:15.969+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-06-24T09:44:15.990+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-23 00:00:00+00:00
[2026-06-24T09:44:16.009+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=301) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-24T09:44:16.006+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-23T00:00:00+00:00', '--job-id', '27', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp51uxciz5']
[2026-06-24T09:44:16.014+0000] {standard_task_runner.py:72} INFO - Started process 302 to run task
[2026-06-24T09:44:16.015+0000] {standard_task_runner.py:105} INFO - Job 27: Subtask incremental_sync_pipeline
[2026-06-24T09:44:16.172+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-23T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-06-24T09:44:16.396+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-23T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-23T00:00:00+00:00'
[2026-06-24T09:44:16.398+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-24T09:44:16.445+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-17 → 2026-06-24...
[2026-06-24T09:44:16.466+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-17 -> 2026-06-23
[2026-06-24T09:46:52.131+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-24 -> 2026-06-24
[2026-06-24T09:46:59.630+0000] {logging_mixin.py:190} INFO - Found 27974 changed IDs. Syncing metadata...
[2026-06-24T09:47:00.944+0000] {logging_mixin.py:190} INFO - Skipping movie 1703937: could not fetch metadata.
[2026-06-24T09:47:01.781+0000] {logging_mixin.py:190} INFO - Skipping movie 1048597: could not fetch metadata.
[2026-06-24T09:47:21.890+0000] {logging_mixin.py:190} INFO - Skipping movie 1704328: could not fetch metadata.
[2026-06-24T09:47:22.136+0000] {logging_mixin.py:190} INFO - Skipping movie 1719483: could not fetch metadata.
[2026-06-24T09:47:22.249+0000] {logging_mixin.py:190} INFO - Skipping movie 393616: could not fetch metadata.
[2026-06-24T09:47:23.426+0000] {logging_mixin.py:190} INFO - Skipping movie 1704367: could not fetch metadata.
[2026-06-24T09:47:24.120+0000] {logging_mixin.py:190} INFO - Skipping movie 655821: could not fetch metadata.
[2026-06-24T09:47:34.386+0000] {logging_mixin.py:190} INFO - Skipping movie 1180315: could not fetch metadata.
[2026-06-24T09:47:37.696+0000] {logging_mixin.py:190} INFO - Skipping movie 1719564: could not fetch metadata.
[2026-06-24T09:47:39.205+0000] {logging_mixin.py:190} INFO - Skipping movie 1704777: could not fetch metadata.
[2026-06-24T09:47:39.461+0000] {logging_mixin.py:190} INFO - Skipping movie 1704789: could not fetch metadata.
[2026-06-24T09:47:41.583+0000] {logging_mixin.py:190} INFO - Skipping movie 1180575: could not fetch metadata.
[2026-06-24T09:47:43.946+0000] {logging_mixin.py:190} INFO - Skipping movie 1704954: could not fetch metadata.
[2026-06-24T09:47:44.033+0000] {logging_mixin.py:190} INFO - Skipping movie 1704976: could not fetch metadata.
[2026-06-24T09:47:44.244+0000] {logging_mixin.py:190} INFO - Skipping movie 1704989: could not fetch metadata.
[2026-06-24T09:47:44.322+0000] {logging_mixin.py:190} INFO - Skipping movie 1180703: could not fetch metadata.
[2026-06-24T09:47:44.348+0000] {logging_mixin.py:190} INFO - Skipping movie 1704999: could not fetch metadata.
[2026-06-24T09:47:44.539+0000] {logging_mixin.py:190} INFO - Skipping movie 1180728: could not fetch metadata.
[2026-06-24T09:47:44.807+0000] {logging_mixin.py:190} INFO - Skipping movie 1180752: could not fetch metadata.
[2026-06-24T09:47:45.179+0000] {logging_mixin.py:190} INFO - Skipping movie 1180769: could not fetch metadata.
[2026-06-24T09:47:45.203+0000] {logging_mixin.py:190} INFO - Skipping movie 1311853: could not fetch metadata.
[2026-06-24T09:47:45.309+0000] {logging_mixin.py:190} INFO - Skipping movie 1180759: could not fetch metadata.
[2026-06-24T09:47:45.905+0000] {logging_mixin.py:190} INFO - Skipping movie 1719641: could not fetch metadata.
[2026-06-24T09:47:46.072+0000] {logging_mixin.py:190} INFO - Skipping movie 1719645: could not fetch metadata.
[2026-06-24T09:47:46.855+0000] {logging_mixin.py:190} INFO - Skipping movie 1705195: could not fetch metadata.
[2026-06-24T09:47:48.154+0000] {logging_mixin.py:190} INFO - Skipping movie 1180993: could not fetch metadata.
[2026-06-24T09:47:48.219+0000] {logging_mixin.py:190} INFO - Skipping movie 1181003: could not fetch metadata.
[2026-06-24T09:47:48.288+0000] {logging_mixin.py:190} INFO - Skipping movie 1705298: could not fetch metadata.
[2026-06-24T09:47:48.387+0000] {logging_mixin.py:190} INFO - Skipping movie 1181012: could not fetch metadata.
[2026-06-24T09:47:48.476+0000] {logging_mixin.py:190} INFO - Skipping movie 1705301: could not fetch metadata.
[2026-06-24T09:47:49.193+0000] {logging_mixin.py:190} INFO - Skipping movie 1181042: could not fetch metadata.
[2026-06-24T09:47:49.964+0000] {logging_mixin.py:190} INFO - Skipping movie 1705414: could not fetch metadata.
[2026-06-24T09:47:50.000+0000] {logging_mixin.py:190} INFO - Skipping movie 1181134: could not fetch metadata.
[2026-06-24T09:47:52.051+0000] {logging_mixin.py:190} INFO - Skipping movie 1705529: could not fetch metadata.
[2026-06-24T09:47:52.124+0000] {logging_mixin.py:190} INFO - Skipping movie 1705541: could not fetch metadata.
[2026-06-24T09:47:52.345+0000] {logging_mixin.py:190} INFO - Skipping movie 1719724: could not fetch metadata.
[2026-06-24T09:47:55.240+0000] {logging_mixin.py:190} INFO - Skipping movie 1705635: could not fetch metadata.
[2026-06-24T09:47:55.941+0000] {logging_mixin.py:190} INFO - Skipping movie 1312428: could not fetch metadata.
[2026-06-24T09:47:59.091+0000] {logging_mixin.py:190} INFO - Skipping movie 1719765: could not fetch metadata.
[2026-06-24T09:48:03.936+0000] {logging_mixin.py:190} INFO - Skipping movie 1181671: could not fetch metadata.
[2026-06-24T09:48:03.975+0000] {logging_mixin.py:190} INFO - Skipping movie 1181680: could not fetch metadata.
[2026-06-24T09:48:04.222+0000] {logging_mixin.py:190} INFO - Skipping movie 1181682: could not fetch metadata.
[2026-06-24T09:48:04.442+0000] {logging_mixin.py:190} INFO - Skipping movie 1574910: could not fetch metadata.
[2026-06-24T09:48:04.444+0000] {logging_mixin.py:190} INFO - Skipping movie 1181686: could not fetch metadata.
[2026-06-24T09:48:05.187+0000] {logging_mixin.py:190} INFO - Skipping movie 657452: could not fetch metadata.
[2026-06-24T09:48:05.948+0000] {logging_mixin.py:190} INFO - Skipping movie 1719829: could not fetch metadata.
[2026-06-24T09:48:13.715+0000] {logging_mixin.py:190} INFO - Skipping movie 1182491: could not fetch metadata.
[2026-06-24T09:48:14.109+0000] {logging_mixin.py:190} INFO - Skipping movie 1182510: could not fetch metadata.
[2026-06-24T09:48:14.826+0000] {logging_mixin.py:190} INFO - Skipping movie 1706858: could not fetch metadata.
[2026-06-24T09:48:14.852+0000] {logging_mixin.py:190} INFO - Skipping movie 1182556: could not fetch metadata.
[2026-06-24T09:48:23.971+0000] {logging_mixin.py:190} INFO - Skipping movie 1445636: could not fetch metadata.
[2026-06-24T09:48:24.064+0000] {logging_mixin.py:190} INFO - Skipping movie 1707787: could not fetch metadata.
[2026-06-24T09:48:27.159+0000] {logging_mixin.py:190} INFO - Skipping movie 1183827: could not fetch metadata.
[2026-06-24T09:48:29.007+0000] {logging_mixin.py:190} INFO - Skipping movie 1708266: could not fetch metadata.
[2026-06-24T09:48:30.472+0000] {logging_mixin.py:190} INFO - Skipping movie 1708310: could not fetch metadata.
[2026-06-24T09:48:30.495+0000] {logging_mixin.py:190} INFO - Skipping movie 1446180: could not fetch metadata.
[2026-06-24T09:48:30.662+0000] {logging_mixin.py:190} INFO - Skipping movie 1708337: could not fetch metadata.
[2026-06-24T09:48:31.296+0000] {logging_mixin.py:190} INFO - Skipping movie 1708344: could not fetch metadata.
[2026-06-24T09:48:31.576+0000] {logging_mixin.py:190} INFO - Skipping movie 1708354: could not fetch metadata.
[2026-06-24T09:48:32.242+0000] {logging_mixin.py:190} INFO - Skipping movie 1708369: could not fetch metadata.
[2026-06-24T09:48:32.766+0000] {logging_mixin.py:190} INFO - Skipping movie 1719515: could not fetch metadata.
[2026-06-24T09:48:37.104+0000] {logging_mixin.py:190} INFO - Skipping movie 1708582: could not fetch metadata.
[2026-06-24T09:48:41.414+0000] {logging_mixin.py:190} INFO - Skipping movie 1708842: could not fetch metadata.
[2026-06-24T09:48:43.549+0000] {logging_mixin.py:190} INFO - Skipping movie 1184680: could not fetch metadata.
[2026-06-24T09:48:43.778+0000] {logging_mixin.py:190} INFO - Skipping movie 1184690: could not fetch metadata.
[2026-06-24T09:48:46.332+0000] {logging_mixin.py:190} INFO - Skipping movie 1709272: could not fetch metadata.
[2026-06-24T09:48:46.966+0000] {logging_mixin.py:190} INFO - Skipping movie 1447164: could not fetch metadata.
[2026-06-24T09:48:49.265+0000] {logging_mixin.py:190} INFO - Skipping movie 1709512: could not fetch metadata.
[2026-06-24T09:48:54.520+0000] {logging_mixin.py:190} INFO - Skipping movie 1447586: could not fetch metadata.
[2026-06-24T09:49:01.636+0000] {logging_mixin.py:190} INFO - Skipping movie 1710421: could not fetch metadata.
[2026-06-24T09:49:06.907+0000] {logging_mixin.py:190} INFO - Skipping movie 1710912: could not fetch metadata.
[2026-06-24T09:49:07.217+0000] {logging_mixin.py:190} INFO - Skipping movie 1710933: could not fetch metadata.
[2026-06-24T09:49:07.236+0000] {logging_mixin.py:190} INFO - Skipping movie 1710925: could not fetch metadata.
[2026-06-24T09:49:07.480+0000] {logging_mixin.py:190} INFO - Skipping movie 1710973: could not fetch metadata.
[2026-06-24T09:49:07.483+0000] {logging_mixin.py:190} INFO - Skipping movie 1710970: could not fetch metadata.
[2026-06-24T09:49:07.883+0000] {logging_mixin.py:190} INFO - Skipping movie 793502: could not fetch metadata.
[2026-06-24T09:49:09.456+0000] {logging_mixin.py:190} INFO - Skipping movie 1711197: could not fetch metadata.
[2026-06-24T09:49:09.674+0000] {logging_mixin.py:190} INFO - Skipping movie 1711211: could not fetch metadata.
[2026-06-24T09:49:10.410+0000] {logging_mixin.py:190} INFO - Skipping movie 662703: could not fetch metadata.
[2026-06-24T09:49:10.468+0000] {logging_mixin.py:190} INFO - Skipping movie 662704: could not fetch metadata.
[2026-06-24T09:49:10.487+0000] {logging_mixin.py:190} INFO - Skipping movie 662706: could not fetch metadata.
[2026-06-24T09:49:10.859+0000] {logging_mixin.py:190} INFO - Skipping movie 662725: could not fetch metadata.
[2026-06-24T09:49:13.656+0000] {logging_mixin.py:190} INFO - Skipping movie 1711593: could not fetch metadata.
[2026-06-24T09:49:15.911+0000] {logging_mixin.py:190} INFO - Skipping movie 1711811: could not fetch metadata.
[2026-06-24T09:49:16.176+0000] {logging_mixin.py:190} INFO - Skipping movie 1711825: could not fetch metadata.
[2026-06-24T09:49:17.152+0000] {logging_mixin.py:190} INFO - Skipping movie 1711901: could not fetch metadata.
[2026-06-24T09:49:17.252+0000] {logging_mixin.py:190} INFO - Skipping movie 1711905: could not fetch metadata.
[2026-06-24T09:49:18.779+0000] {logging_mixin.py:190} INFO - Skipping movie 1712013: could not fetch metadata.
[2026-06-24T09:49:18.862+0000] {logging_mixin.py:190} INFO - Skipping movie 1712024: could not fetch metadata.
[2026-06-24T09:49:18.915+0000] {logging_mixin.py:190} INFO - Skipping movie 1712033: could not fetch metadata.
[2026-06-24T09:49:19.247+0000] {logging_mixin.py:190} INFO - Skipping movie 1712047: could not fetch metadata.
[2026-06-24T09:49:20.318+0000] {logging_mixin.py:190} INFO - Skipping movie 1712177: could not fetch metadata.
[2026-06-24T09:49:22.493+0000] {logging_mixin.py:190} INFO - Skipping movie 1712296: could not fetch metadata.
[2026-06-24T09:49:24.165+0000] {logging_mixin.py:190} INFO - Skipping movie 1712436: could not fetch metadata.
[2026-06-24T09:49:26.956+0000] {logging_mixin.py:190} INFO - Skipping movie 1057289: could not fetch metadata.
[2026-06-24T09:49:29.263+0000] {logging_mixin.py:190} INFO - Skipping movie 1712821: could not fetch metadata.
[2026-06-24T09:49:29.529+0000] {logging_mixin.py:190} INFO - Skipping movie 1450694: could not fetch metadata.
[2026-06-24T09:49:30.432+0000] {logging_mixin.py:190} INFO - Skipping movie 1188622: could not fetch metadata.
[2026-06-24T09:49:31.473+0000] {logging_mixin.py:190} INFO - Skipping movie 1581891: could not fetch metadata.
[2026-06-24T09:49:34.822+0000] {logging_mixin.py:190} INFO - Skipping movie 1713133: could not fetch metadata.
[2026-06-24T09:49:41.126+0000] {logging_mixin.py:190} INFO - Skipping movie 1713351: could not fetch metadata.
[2026-06-24T09:49:42.607+0000] {logging_mixin.py:190} INFO - Skipping movie 1713403: could not fetch metadata.
[2026-06-24T09:49:43.507+0000] {logging_mixin.py:190} INFO - Skipping movie 1582364: could not fetch metadata.
[2026-06-24T09:49:46.559+0000] {logging_mixin.py:190} INFO - Skipping movie 1713562: could not fetch metadata.
[2026-06-24T09:49:53.320+0000] {logging_mixin.py:190} INFO - Skipping movie 927348: could not fetch metadata.
[2026-06-24T09:49:53.322+0000] {logging_mixin.py:190} INFO - Skipping movie 1713769: could not fetch metadata.
[2026-06-24T09:49:53.720+0000] {logging_mixin.py:190} INFO - Skipping movie 1713803: could not fetch metadata.
[2026-06-24T09:49:54.016+0000] {logging_mixin.py:190} INFO - Skipping movie 1582745: could not fetch metadata.
[2026-06-24T09:49:55.630+0000] {logging_mixin.py:190} INFO - Skipping movie 1713885: could not fetch metadata.
[2026-06-24T09:49:55.639+0000] {logging_mixin.py:190} INFO - Skipping movie 1713883: could not fetch metadata.
[2026-06-24T09:50:03.084+0000] {logging_mixin.py:190} INFO - Skipping movie 1714205: could not fetch metadata.
[2026-06-24T09:50:04.090+0000] {logging_mixin.py:190} INFO - Skipping movie 1714250: could not fetch metadata.
[2026-06-24T09:50:04.326+0000] {logging_mixin.py:190} INFO - Skipping movie 1714262: could not fetch metadata.
[2026-06-24T09:50:04.611+0000] {logging_mixin.py:190} INFO - Skipping movie 1714267: could not fetch metadata.
[2026-06-24T09:50:04.688+0000] {logging_mixin.py:190} INFO - Skipping movie 1714271: could not fetch metadata.
[2026-06-24T09:50:06.091+0000] {logging_mixin.py:190} INFO - Skipping movie 1714369: could not fetch metadata.
[2026-06-24T09:50:07.045+0000] {logging_mixin.py:190} INFO - Skipping movie 1714424: could not fetch metadata.
[2026-06-24T09:50:07.286+0000] {logging_mixin.py:190} INFO - Skipping movie 1714434: could not fetch metadata.
[2026-06-24T09:50:10.587+0000] {logging_mixin.py:190} INFO - Skipping movie 1714600: could not fetch metadata.
[2026-06-24T09:50:11.905+0000] {logging_mixin.py:190} INFO - Skipping movie 1714640: could not fetch metadata.
[2026-06-24T09:50:12.822+0000] {logging_mixin.py:190} INFO - Skipping movie 1714696: could not fetch metadata.
[2026-06-24T09:50:13.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1714714: could not fetch metadata.
[2026-06-24T09:50:15.142+0000] {logging_mixin.py:190} INFO - Skipping movie 1714814: could not fetch metadata.
[2026-06-24T09:50:16.252+0000] {logging_mixin.py:190} INFO - Skipping movie 1714889: could not fetch metadata.
[2026-06-24T09:50:17.942+0000] {logging_mixin.py:190} INFO - Skipping movie 1714966: could not fetch metadata.
[2026-06-24T09:50:20.979+0000] {logging_mixin.py:190} INFO - Skipping movie 1715084: could not fetch metadata.
[2026-06-24T09:50:22.406+0000] {logging_mixin.py:190} INFO - Skipping movie 1715146: could not fetch metadata.
[2026-06-24T09:50:23.929+0000] {logging_mixin.py:190} INFO - Skipping movie 1715204: could not fetch metadata.
[2026-06-24T09:50:23.940+0000] {logging_mixin.py:190} INFO - Skipping movie 1715205: could not fetch metadata.
[2026-06-24T09:50:23.972+0000] {logging_mixin.py:190} INFO - Skipping movie 1715213: could not fetch metadata.
[2026-06-24T09:50:24.028+0000] {logging_mixin.py:190} INFO - Skipping movie 1715209: could not fetch metadata.
