[2026-06-25T07:01:35.043+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-25T07:01:35.043+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-24T00:00:00+00:00 [queued]>
[2026-06-25T07:01:35.043+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-24T00:00:00+00:00 [queued]>
[2026-06-25T07:01:35.043+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-25T07:01:35.043+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-24 00:00:00+00:00
[2026-06-25T07:01:35.043+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3991) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-25T07:01:35.043+0000] {standard_task_runner.py:72} INFO - Started process 3996 to run task
[2026-06-25T07:01:35.043+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-24T00:00:00+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpid4i3449']
[2026-06-25T07:01:35.043+0000] {standard_task_runner.py:105} INFO - Job 30: Subtask incremental_sync_pipeline
[2026-06-25T07:01:35.043+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-24T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-06-25T07:01:35.043+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-24T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-24T00:00:00+00:00'
[2026-06-25T07:01:35.043+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-25T07:01:35.043+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-24 → 2026-06-25...
[2026-06-25T07:01:35.043+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-24 -> 2026-06-25
[2026-06-25T09:01:11.282+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/changes: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-06-25T09:01:12.388+0000] {job.py:229} INFO - Heartbeat recovered after 7156.08 seconds
[2026-06-25T09:01:21.469+0000] {logging_mixin.py:190} INFO - Found 4991 changed IDs. Syncing metadata...
[2026-06-25T09:01:22.787+0000] {logging_mixin.py:190} INFO - Skipping movie 1376267: could not fetch metadata.
[2026-06-25T09:01:24.609+0000] {logging_mixin.py:190} INFO - Skipping movie 1147118: could not fetch metadata.
[2026-06-25T09:01:26.230+0000] {logging_mixin.py:190} INFO - Skipping movie 1671608: could not fetch metadata.
[2026-06-25T09:01:27.324+0000] {logging_mixin.py:190} INFO - Skipping movie 1311266: could not fetch metadata.
[2026-06-25T09:01:30.354+0000] {logging_mixin.py:190} INFO - Skipping movie 1475473: could not fetch metadata.
[2026-06-25T09:01:30.967+0000] {logging_mixin.py:190} INFO - Skipping movie 66508: could not fetch metadata.
[2026-06-25T09:01:31.930+0000] {logging_mixin.py:190} INFO - Skipping movie 1704899: could not fetch metadata.
[2026-06-25T09:01:33.328+0000] {logging_mixin.py:190} INFO - Skipping movie 1181147: could not fetch metadata.
[2026-06-25T09:01:33.353+0000] {logging_mixin.py:190} INFO - Skipping movie 1181156: could not fetch metadata.
[2026-06-25T09:01:33.481+0000] {logging_mixin.py:190} INFO - Skipping movie 1181162: could not fetch metadata.
[2026-06-25T09:01:35.073+0000] {logging_mixin.py:190} INFO - Skipping movie 787956: could not fetch metadata.
[2026-06-25T09:01:35.924+0000] {logging_mixin.py:190} INFO - Skipping movie 1148733: could not fetch metadata.
[2026-06-25T09:01:36.500+0000] {logging_mixin.py:190} INFO - Skipping movie 1181603: could not fetch metadata.
[2026-06-25T09:01:36.618+0000] {logging_mixin.py:190} INFO - Skipping movie 1181615: could not fetch metadata.
[2026-06-25T09:01:36.651+0000] {logging_mixin.py:190} INFO - Skipping movie 1181624: could not fetch metadata.
[2026-06-25T09:01:36.764+0000] {logging_mixin.py:190} INFO - Skipping movie 1181628: could not fetch metadata.
[2026-06-25T09:01:37.024+0000] {logging_mixin.py:190} INFO - Skipping movie 1181640: could not fetch metadata.
