[2026-06-30T13:48:07.932+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-06-30T13:48:07.962+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-26T00:00:00+00:00 [queued]>
[2026-06-30T13:48:07.974+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-26T00:00:00+00:00 [queued]>
[2026-06-30T13:48:07.976+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-06-30T13:48:08.012+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-26 00:00:00+00:00
[2026-06-30T13:48:08.023+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=179) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-06-30T13:48:08.025+0000] {standard_task_runner.py:72} INFO - Started process 185 to run task
[2026-06-30T13:48:08.022+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-26T00:00:00+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpy4s8hz6c']
[2026-06-30T13:48:08.026+0000] {standard_task_runner.py:105} INFO - Job 33: Subtask incremental_sync_pipeline
[2026-06-30T13:48:08.143+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-26T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-06-30T13:48:08.356+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-26T00:00:00+00:00'
[2026-06-30T13:48:08.358+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-06-30T13:48:08.476+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-26 → 2026-06-30...
[2026-06-30T13:48:08.488+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-26 -> 2026-06-30
[2026-06-30T13:48:55.412+0000] {logging_mixin.py:190} INFO - Found 16484 changed IDs. Syncing metadata...
[2026-06-30T13:48:59.666+0000] {logging_mixin.py:190} INFO - Skipping movie 1540201: could not fetch metadata.
[2026-06-30T13:49:09.727+0000] {logging_mixin.py:190} INFO - Skipping movie 1442210: could not fetch metadata.
[2026-06-30T13:49:10.259+0000] {logging_mixin.py:190} INFO - Skipping movie 1704374: could not fetch metadata.
[2026-06-30T13:49:15.221+0000] {logging_mixin.py:190} INFO - Skipping movie 983666: could not fetch metadata.
[2026-06-30T13:49:18.180+0000] {logging_mixin.py:190} INFO - Skipping movie 1540810: could not fetch metadata.
[2026-06-30T13:49:18.618+0000] {logging_mixin.py:190} INFO - Skipping movie 33478: could not fetch metadata.
[2026-06-30T13:49:29.614+0000] {logging_mixin.py:190} INFO - Skipping movie 1705098: could not fetch metadata.
[2026-06-30T13:49:32.578+0000] {logging_mixin.py:190} INFO - Skipping movie 1377564: could not fetch metadata.
[2026-06-30T13:49:34.457+0000] {logging_mixin.py:190} INFO - Skipping movie 1508721: could not fetch metadata.
[2026-06-30T13:49:34.999+0000] {logging_mixin.py:190} INFO - Skipping movie 1639801: could not fetch metadata.
[2026-06-30T13:49:35.549+0000] {logging_mixin.py:190} INFO - Skipping movie 1705382: could not fetch metadata.
[2026-06-30T13:49:39.343+0000] {logging_mixin.py:190} INFO - Skipping movie 1443437: could not fetch metadata.
[2026-06-30T13:49:39.637+0000] {logging_mixin.py:190} INFO - Skipping movie 1705599: could not fetch metadata.
[2026-06-30T13:49:39.777+0000] {logging_mixin.py:190} INFO - Skipping movie 1705608: could not fetch metadata.
[2026-06-30T13:49:40.098+0000] {logging_mixin.py:190} INFO - Skipping movie 1394096: could not fetch metadata.
[2026-06-30T13:49:42.487+0000] {logging_mixin.py:190} INFO - Skipping movie 1672950: could not fetch metadata.
[2026-06-30T13:49:49.413+0000] {logging_mixin.py:190} INFO - Skipping movie 1705989: could not fetch metadata.
[2026-06-30T13:49:50.184+0000] {logging_mixin.py:190} INFO - Skipping movie 722990: could not fetch metadata.
[2026-06-30T13:49:52.582+0000] {logging_mixin.py:190} INFO - Skipping movie 1411253: could not fetch metadata.
[2026-06-30T13:49:53.512+0000] {logging_mixin.py:190} INFO - Skipping movie 1459340: could not fetch metadata.
