[2026-07-01T02:48:14.999+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-01T02:48:14.999+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-30T00:00:00+00:00 [queued]>
[2026-07-01T02:48:14.999+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-30T00:00:00+00:00 [queued]>
[2026-07-01T02:48:14.999+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-01T02:48:14.999+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-06-30 00:00:00+00:00
[2026-07-01T02:48:14.999+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1135) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-01T02:48:14.999+0000] {standard_task_runner.py:72} INFO - Started process 1140 to run task
[2026-07-01T02:48:14.999+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-06-30T00:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp20wzeir0']
[2026-07-01T02:48:14.999+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask incremental_sync_pipeline
[2026-07-01T02:48:14.999+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-06-30T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-01T02:48:14.999+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-06-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-06-30T00:00:00+00:00'
[2026-07-01T02:48:14.999+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-01T02:48:14.999+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-06-30 → 2026-07-01...
[2026-07-01T02:48:14.999+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-06-30 -> 2026-07-01
[2026-07-01T02:48:38.186+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/changes: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-01T06:48:09.698+0000] {job.py:229} INFO - Heartbeat recovered after 14372.78 seconds
[2026-07-01T06:48:13.951+0000] {logging_mixin.py:190} INFO - Found 5858 changed IDs. Syncing metadata...
[2026-07-01T06:48:26.761+0000] {logging_mixin.py:190} INFO - SSL error on attempt 1/3 for https://api.themoviedb.org/3/movie/150: HTTPSConnectionPool(host='api.themoviedb.org', port=443): Max retries exceeded with url: /3/movie/150?api_key=6f73ac85d32f789d075631f40192f5ab (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))
[2026-07-01T07:55:32.641+0000] {job.py:229} INFO - Heartbeat recovered after 4014.23 seconds
[2026-07-01T07:55:36.156+0000] {logging_mixin.py:190} INFO - SSL error on attempt 1/3 for https://api.themoviedb.org/3/movie/844: HTTPSConnectionPool(host='api.themoviedb.org', port=443): Max retries exceeded with url: /3/movie/844?api_key=6f73ac85d32f789d075631f40192f5ab (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))
[2026-07-01T07:55:38.276+0000] {logging_mixin.py:190} INFO - Skipping movie 1115180: could not fetch metadata.
[2026-07-01T07:55:55.561+0000] {logging_mixin.py:190} INFO - Skipping movie 1411253: could not fetch metadata.
[2026-07-01T11:12:26.335+0000] {job.py:229} INFO - Heartbeat recovered after 11792.70 seconds
[2026-07-01T11:12:31.696+0000] {logging_mixin.py:190} INFO - Skipping movie 1641463: could not fetch metadata.
[2026-07-01T11:12:32.175+0000] {logging_mixin.py:190} INFO - Skipping movie 1575972: could not fetch metadata.
[2026-07-01T11:12:35.075+0000] {logging_mixin.py:190} INFO - Skipping movie 1576454: could not fetch metadata.
[2026-07-01T11:12:36.664+0000] {logging_mixin.py:190} INFO - Skipping movie 1150692: could not fetch metadata.
[2026-07-01T11:12:52.662+0000] {logging_mixin.py:190} INFO - Skipping movie 1415323: could not fetch metadata.
[2026-07-01T11:12:53.062+0000] {logging_mixin.py:190} INFO - Skipping movie 1317114: could not fetch metadata.
