[2026-07-02T17:08:31.873+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-02T17:08:31.903+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-01T00:00:00+00:00 [queued]>
[2026-07-02T17:08:31.915+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-01T00:00:00+00:00 [queued]>
[2026-07-02T17:08:31.916+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-02T17:08:31.934+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-01 00:00:00+00:00
[2026-07-02T17:08:31.949+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3548) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-02T17:08:31.951+0000] {standard_task_runner.py:72} INFO - Started process 3551 to run task
[2026-07-02T17:08:31.949+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-01T00:00:00+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp5b14aq3g']
[2026-07-02T17:08:31.953+0000] {standard_task_runner.py:105} INFO - Job 36: Subtask incremental_sync_pipeline
[2026-07-02T17:08:32.040+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-01T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-02T17:08:32.188+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-01T00:00:00+00:00'
[2026-07-02T17:08:32.190+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-02T17:08:32.267+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-01 → 2026-07-02...
[2026-07-02T17:08:32.287+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-01 -> 2026-07-02
[2026-07-02T17:08:50.893+0000] {logging_mixin.py:190} INFO - Found 6311 changed IDs. Syncing metadata...
[2026-07-02T17:08:52.218+0000] {logging_mixin.py:190} INFO - Skipping movie 884786: could not fetch metadata.
[2026-07-02T17:08:54.982+0000] {logging_mixin.py:190} INFO - Skipping movie 1474747: could not fetch metadata.
[2026-07-02T17:09:03.022+0000] {logging_mixin.py:190} INFO - Skipping movie 1704922: could not fetch metadata.
[2026-07-02T17:09:03.710+0000] {logging_mixin.py:190} INFO - Skipping movie 1705059: could not fetch metadata.
[2026-07-02T17:09:09.242+0000] {logging_mixin.py:190} INFO - Skipping movie 1279942: could not fetch metadata.
[2026-07-02T17:09:09.244+0000] {logging_mixin.py:190} INFO - Skipping movie 1279935: could not fetch metadata.
[2026-07-02T17:09:09.476+0000] {logging_mixin.py:190} INFO - Skipping movie 1279953: could not fetch metadata.
[2026-07-02T17:09:09.525+0000] {logging_mixin.py:190} INFO - Skipping movie 1279961: could not fetch metadata.
[2026-07-02T17:09:14.923+0000] {logging_mixin.py:190} INFO - Skipping movie 1673954: could not fetch metadata.
[2026-07-02T17:09:19.811+0000] {logging_mixin.py:190} INFO - Skipping movie 1707412: could not fetch metadata.
[2026-07-02T17:09:22.594+0000] {logging_mixin.py:190} INFO - Skipping movie 1707723: could not fetch metadata.
[2026-07-02T17:09:23.902+0000] {logging_mixin.py:190} INFO - Skipping movie 1707878: could not fetch metadata.
[2026-07-02T17:09:34.692+0000] {logging_mixin.py:190} INFO - Skipping movie 792015: could not fetch metadata.
[2026-07-02T17:09:38.888+0000] {logging_mixin.py:190} INFO - Skipping movie 1284227: could not fetch metadata.
[2026-07-02T17:09:41.083+0000] {logging_mixin.py:190} INFO - Skipping movie 1710546: could not fetch metadata.
[2026-07-02T17:09:42.130+0000] {logging_mixin.py:190} INFO - Skipping movie 1645123: could not fetch metadata.
[2026-07-02T17:09:42.729+0000] {logging_mixin.py:190} INFO - Skipping movie 1710810: could not fetch metadata.
[2026-07-02T17:09:46.260+0000] {logging_mixin.py:190} INFO - Skipping movie 1711466: could not fetch metadata.
[2026-07-02T17:09:50.091+0000] {logging_mixin.py:190} INFO - Skipping movie 1712056: could not fetch metadata.
[2026-07-02T17:09:50.719+0000] {logging_mixin.py:190} INFO - Skipping movie 1515533: could not fetch metadata.
[2026-07-02T17:10:00.173+0000] {logging_mixin.py:190} INFO - Skipping movie 1680571: could not fetch metadata.
[2026-07-02T17:10:00.935+0000] {logging_mixin.py:190} INFO - Skipping movie 1058074: could not fetch metadata.
[2026-07-02T17:10:07.717+0000] {logging_mixin.py:190} INFO - Skipping movie 1681430: could not fetch metadata.
[2026-07-02T17:10:07.929+0000] {logging_mixin.py:190} INFO - Skipping movie 1648666: could not fetch metadata.
[2026-07-02T17:10:08.592+0000] {logging_mixin.py:190} INFO - Skipping movie 1714259: could not fetch metadata.
[2026-07-02T17:10:13.253+0000] {logging_mixin.py:190} INFO - Skipping movie 1714770: could not fetch metadata.
[2026-07-02T17:10:13.349+0000] {logging_mixin.py:190} INFO - Skipping movie 1714794: could not fetch metadata.
[2026-07-02T17:10:17.865+0000] {logging_mixin.py:190} INFO - Skipping movie 1715313: could not fetch metadata.
[2026-07-02T17:10:18.035+0000] {logging_mixin.py:190} INFO - Skipping movie 1715323: could not fetch metadata.
[2026-07-02T17:10:18.161+0000] {logging_mixin.py:190} INFO - Skipping movie 1715352: could not fetch metadata.
[2026-07-02T17:10:18.209+0000] {logging_mixin.py:190} INFO - Skipping movie 1715291: could not fetch metadata.
[2026-07-02T17:10:18.341+0000] {logging_mixin.py:190} INFO - Skipping movie 1715357: could not fetch metadata.
[2026-07-02T17:10:18.731+0000] {logging_mixin.py:190} INFO - Skipping movie 1715401: could not fetch metadata.
[2026-07-02T17:10:18.749+0000] {logging_mixin.py:190} INFO - Skipping movie 1715403: could not fetch metadata.
[2026-07-02T17:10:18.971+0000] {logging_mixin.py:190} INFO - Skipping movie 1715407: could not fetch metadata.
[2026-07-02T17:10:19.218+0000] {logging_mixin.py:190} INFO - Skipping movie 1715439: could not fetch metadata.
[2026-07-02T17:10:19.308+0000] {logging_mixin.py:190} INFO - Skipping movie 1715451: could not fetch metadata.
[2026-07-02T17:10:28.814+0000] {logging_mixin.py:190} INFO - Skipping movie 1716671: could not fetch metadata.
[2026-07-02T17:10:29.778+0000] {logging_mixin.py:190} INFO - Skipping movie 1061468: could not fetch metadata.
[2026-07-02T17:10:31.681+0000] {logging_mixin.py:190} INFO - Skipping movie 1717069: could not fetch metadata.
[2026-07-02T17:10:31.801+0000] {logging_mixin.py:190} INFO - Skipping movie 1717082: could not fetch metadata.
[2026-07-02T17:10:32.033+0000] {logging_mixin.py:190} INFO - Skipping movie 1717083: could not fetch metadata.
[2026-07-02T17:10:32.126+0000] {logging_mixin.py:190} INFO - Skipping movie 1717091: could not fetch metadata.
[2026-07-02T17:10:32.182+0000] {logging_mixin.py:190} INFO - Skipping movie 1717104: could not fetch metadata.
[2026-07-02T17:10:33.777+0000] {logging_mixin.py:190} INFO - Skipping movie 1586120: could not fetch metadata.
[2026-07-02T17:10:33.798+0000] {logging_mixin.py:190} INFO - Skipping movie 1717350: could not fetch metadata.
[2026-07-02T17:10:34.399+0000] {logging_mixin.py:190} INFO - Skipping movie 1520782: could not fetch metadata.
[2026-07-02T17:10:35.795+0000] {logging_mixin.py:190} INFO - Skipping movie 1717563: could not fetch metadata.
[2026-07-02T17:10:35.816+0000] {logging_mixin.py:190} INFO - Skipping movie 1717566: could not fetch metadata.
[2026-07-02T17:10:36.304+0000] {logging_mixin.py:190} INFO - Skipping movie 1717597: could not fetch metadata.
[2026-07-02T17:10:36.381+0000] {logging_mixin.py:190} INFO - Skipping movie 1717606: could not fetch metadata.
[2026-07-02T17:10:38.025+0000] {logging_mixin.py:190} INFO - Skipping movie 1717801: could not fetch metadata.
[2026-07-02T17:10:39.339+0000] {logging_mixin.py:190} INFO - Skipping movie 1488793: could not fetch metadata.
[2026-07-02T17:10:40.788+0000] {logging_mixin.py:190} INFO - Skipping movie 1685460: could not fetch metadata.
[2026-07-02T17:10:43.028+0000] {logging_mixin.py:190} INFO - Skipping movie 1620434: could not fetch metadata.
