[2026-07-14T12:34:20.702+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-14T12:34:20.796+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-02T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.817+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-02T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.819+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-14T12:34:20.866+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-02 00:00:00+00:00
[2026-07-14T12:34:20.892+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=183) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-14T12:34:20.910+0000] {standard_task_runner.py:72} INFO - Started process 192 to run task
[2026-07-14T12:34:20.888+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-02T00:00:00+00:00', '--job-id', '72', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpmmrc_p4l']
[2026-07-14T12:34:20.917+0000] {standard_task_runner.py:105} INFO - Job 72: Subtask incremental_sync_pipeline
[2026-07-14T12:34:21.154+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-02T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-14T12:34:21.531+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-02T00:00:00+00:00'
[2026-07-14T12:34:21.539+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-14T12:34:21.682+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-02 → 2026-07-14...
[2026-07-14T12:34:21.709+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-02 -> 2026-07-08
[2026-07-14T12:36:13.354+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-09 -> 2026-07-14
[2026-07-14T12:37:08.544+0000] {logging_mixin.py:190} INFO - Found 38133 changed IDs. Syncing metadata...
[2026-07-14T12:37:10.942+0000] {logging_mixin.py:190} INFO - Skipping movie 1704003: could not fetch metadata.
[2026-07-14T12:37:18.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1442001: could not fetch metadata.
[2026-07-14T12:37:19.052+0000] {logging_mixin.py:190} INFO - Skipping movie 655611: could not fetch metadata.
[2026-07-14T12:37:21.743+0000] {logging_mixin.py:190} INFO - Skipping movie 1048904: could not fetch metadata.
[2026-07-14T12:37:27.432+0000] {logging_mixin.py:190} INFO - Skipping movie 1442230: could not fetch metadata.
[2026-07-14T12:37:34.249+0000] {logging_mixin.py:190} INFO - Skipping movie 393860: could not fetch metadata.
[2026-07-14T12:37:41.075+0000] {logging_mixin.py:190} INFO - Skipping movie 1704782: could not fetch metadata.
[2026-07-14T12:37:43.500+0000] {logging_mixin.py:190} INFO - Skipping movie 1311671: could not fetch metadata.
[2026-07-14T12:37:52.385+0000] {logging_mixin.py:190} INFO - Skipping movie 1312149: could not fetch metadata.
[2026-07-14T12:37:55.127+0000] {logging_mixin.py:190} INFO - Skipping movie 132650: could not fetch metadata.
[2026-07-14T12:38:00.418+0000] {logging_mixin.py:190} INFO - Skipping movie 1443616: could not fetch metadata.
[2026-07-14T12:38:04.678+0000] {logging_mixin.py:190} INFO - Skipping movie 264179: could not fetch metadata.
[2026-07-14T12:38:20.578+0000] {logging_mixin.py:190} INFO - Skipping movie 1706666: could not fetch metadata.
[2026-07-14T12:38:24.531+0000] {logging_mixin.py:190} INFO - Skipping movie 1575711: could not fetch metadata.
[2026-07-14T12:38:26.324+0000] {logging_mixin.py:190} INFO - Skipping movie 1444719: could not fetch metadata.
[2026-07-14T12:38:26.834+0000] {logging_mixin.py:190} INFO - Skipping movie 134042: could not fetch metadata.
[2026-07-14T12:38:31.202+0000] {logging_mixin.py:190} INFO - Skipping movie 1575960: could not fetch metadata.
[2026-07-14T12:38:35.467+0000] {logging_mixin.py:190} INFO - Skipping movie 1445119: could not fetch metadata.
[2026-07-14T12:38:35.957+0000] {logging_mixin.py:190} INFO - Skipping movie 789780: could not fetch metadata.
[2026-07-14T12:38:37.493+0000] {logging_mixin.py:190} INFO - Skipping movie 1707412: could not fetch metadata.
[2026-07-14T12:38:39.720+0000] {logging_mixin.py:190} INFO - Skipping movie 1707525: could not fetch metadata.
[2026-07-14T12:38:40.802+0000] {logging_mixin.py:190} INFO - Skipping movie 396883: could not fetch metadata.
[2026-07-14T12:38:49.231+0000] {logging_mixin.py:190} INFO - Skipping movie 528572: could not fetch metadata.
[2026-07-14T12:38:50.651+0000] {logging_mixin.py:190} INFO - Skipping movie 1708265: could not fetch metadata.
[2026-07-14T12:38:54.347+0000] {logging_mixin.py:190} INFO - Skipping movie 1446368: could not fetch metadata.
[2026-07-14T12:38:59.428+0000] {logging_mixin.py:190} INFO - Skipping movie 1446628: could not fetch metadata.
[2026-07-14T12:39:00.949+0000] {logging_mixin.py:190} INFO - Skipping movie 1708870: could not fetch metadata.
[2026-07-14T12:39:01.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1708867: could not fetch metadata.
[2026-07-14T12:39:02.437+0000] {logging_mixin.py:190} INFO - Skipping movie 1184644: could not fetch metadata.
[2026-07-14T12:39:02.458+0000] {logging_mixin.py:190} INFO - Skipping movie 791460: could not fetch metadata.
[2026-07-14T12:39:02.594+0000] {logging_mixin.py:190} INFO - Skipping movie 1184685: could not fetch metadata.
[2026-07-14T12:39:02.803+0000] {logging_mixin.py:190} INFO - Skipping movie 1184698: could not fetch metadata.
[2026-07-14T12:39:03.156+0000] {logging_mixin.py:190} INFO - Skipping movie 1184711: could not fetch metadata.
[2026-07-14T12:39:04.674+0000] {logging_mixin.py:190} INFO - Skipping movie 1709180: could not fetch metadata.
[2026-07-14T12:39:05.639+0000] {logging_mixin.py:190} INFO - Skipping movie 791744: could not fetch metadata.
[2026-07-14T12:39:09.810+0000] {logging_mixin.py:190} INFO - Skipping movie 792015: could not fetch metadata.
[2026-07-14T12:39:09.973+0000] {logging_mixin.py:190} INFO - Skipping movie 1709580: could not fetch metadata.
[2026-07-14T12:39:10.174+0000] {logging_mixin.py:190} INFO - Skipping movie 1447453: could not fetch metadata.
[2026-07-14T12:39:13.059+0000] {logging_mixin.py:190} INFO - Skipping movie 923386: could not fetch metadata.
[2026-07-14T12:39:13.341+0000] {logging_mixin.py:190} INFO - Skipping movie 661260: could not fetch metadata.
[2026-07-14T12:39:18.335+0000] {logging_mixin.py:190} INFO - Skipping movie 1185893: could not fetch metadata.
[2026-07-14T12:39:18.583+0000] {logging_mixin.py:190} INFO - Skipping movie 1579117: could not fetch metadata.
[2026-07-14T12:39:22.476+0000] {logging_mixin.py:190} INFO - Skipping movie 530765: could not fetch metadata.
[2026-07-14T12:39:23.068+0000] {logging_mixin.py:190} INFO - Skipping movie 399737: could not fetch metadata.
[2026-07-14T12:39:29.207+0000] {logging_mixin.py:190} INFO - Skipping movie 1710810: could not fetch metadata.
[2026-07-14T12:39:30.895+0000] {logging_mixin.py:190} INFO - Skipping movie 531280: could not fetch metadata.
[2026-07-14T12:39:31.161+0000] {logging_mixin.py:190} INFO - Skipping movie 1710941: could not fetch metadata.
[2026-07-14T12:39:31.987+0000] {logging_mixin.py:190} INFO - Skipping movie 1448869: could not fetch metadata.
[2026-07-14T12:39:35.069+0000] {logging_mixin.py:190} INFO - Skipping movie 1318019: could not fetch metadata.
[2026-07-14T12:39:40.591+0000] {logging_mixin.py:190} INFO - Skipping movie 1318384: could not fetch metadata.
[2026-07-14T12:39:41.038+0000] {logging_mixin.py:190} INFO - Skipping movie 1711628: could not fetch metadata.
[2026-07-14T12:39:43.095+0000] {logging_mixin.py:190} INFO - Skipping movie 1056441: could not fetch metadata.
[2026-07-14T12:39:43.380+0000] {logging_mixin.py:190} INFO - Skipping movie 1711804: could not fetch metadata.
[2026-07-14T12:39:43.429+0000] {logging_mixin.py:190} INFO - Skipping movie 1449662: could not fetch metadata.
[2026-07-14T12:39:46.185+0000] {logging_mixin.py:190} INFO - Skipping movie 270212: could not fetch metadata.
[2026-07-14T12:39:46.351+0000] {logging_mixin.py:190} INFO - Skipping movie 270214: could not fetch metadata.
[2026-07-14T12:39:46.356+0000] {logging_mixin.py:190} INFO - Skipping movie 270216: could not fetch metadata.
[2026-07-14T12:39:46.467+0000] {logging_mixin.py:190} INFO - Skipping movie 1712011: could not fetch metadata.
[2026-07-14T12:39:47.992+0000] {logging_mixin.py:190} INFO - Skipping movie 1581054: could not fetch metadata.
[2026-07-14T12:39:49.961+0000] {logging_mixin.py:190} INFO - Skipping movie 794681: could not fetch metadata.
[2026-07-14T12:39:50.520+0000] {logging_mixin.py:190} INFO - Skipping movie 794707: could not fetch metadata.
[2026-07-14T12:39:56.770+0000] {logging_mixin.py:190} INFO - Skipping movie 1712511: could not fetch metadata.
[2026-07-14T12:39:58.086+0000] {logging_mixin.py:190} INFO - Skipping movie 1712598: could not fetch metadata.
[2026-07-14T12:39:59.658+0000] {logging_mixin.py:190} INFO - Skipping movie 1581606: could not fetch metadata.
[2026-07-14T12:40:10.389+0000] {logging_mixin.py:190} INFO - Skipping movie 1320015: could not fetch metadata.
[2026-07-14T12:40:32.882+0000] {logging_mixin.py:190} INFO - Skipping movie 403194: could not fetch metadata.
[2026-07-14T12:40:34.019+0000] {logging_mixin.py:190} INFO - Skipping movie 272167: could not fetch metadata.
[2026-07-14T12:40:40.682+0000] {logging_mixin.py:190} INFO - Skipping movie 1714176: could not fetch metadata.
[2026-07-14T12:40:41.518+0000] {logging_mixin.py:190} INFO - Skipping movie 1714224: could not fetch metadata.
[2026-07-14T12:40:42.849+0000] {logging_mixin.py:190} INFO - Skipping movie 1714259: could not fetch metadata.
[2026-07-14T12:41:06.020+0000] {logging_mixin.py:190} INFO - Skipping movie 1714794: could not fetch metadata.
[2026-07-14T12:41:10.093+0000] {logging_mixin.py:190} INFO - Skipping movie 1714939: could not fetch metadata.
[2026-07-14T12:41:10.307+0000] {logging_mixin.py:190} INFO - Skipping movie 1059590: could not fetch metadata.
[2026-07-14T12:41:12.957+0000] {logging_mixin.py:190} INFO - Skipping movie 1715017: could not fetch metadata.
[2026-07-14T12:41:21.616+0000] {logging_mixin.py:190} INFO - Skipping movie 1715291: could not fetch metadata.
[2026-07-14T12:41:23.334+0000] {logging_mixin.py:190} INFO - Skipping movie 1715313: could not fetch metadata.
[2026-07-14T12:41:23.467+0000] {logging_mixin.py:190} INFO - Skipping movie 1715323: could not fetch metadata.
[2026-07-14T12:41:24.310+0000] {logging_mixin.py:190} INFO - Skipping movie 1715352: could not fetch metadata.
[2026-07-14T12:41:24.375+0000] {logging_mixin.py:190} INFO - Skipping movie 1715357: could not fetch metadata.
[2026-07-14T12:41:26.745+0000] {logging_mixin.py:190} INFO - Skipping movie 1715401: could not fetch metadata.
[2026-07-14T12:41:27.007+0000] {logging_mixin.py:190} INFO - Skipping movie 1715403: could not fetch metadata.
[2026-07-14T12:41:27.192+0000] {logging_mixin.py:190} INFO - Skipping movie 1715406: could not fetch metadata.
[2026-07-14T12:41:27.258+0000] {logging_mixin.py:190} INFO - Skipping movie 1715407: could not fetch metadata.
[2026-07-14T12:41:28.136+0000] {logging_mixin.py:190} INFO - Skipping movie 1715439: could not fetch metadata.
[2026-07-14T12:41:28.553+0000] {logging_mixin.py:190} INFO - Skipping movie 1715451: could not fetch metadata.
[2026-07-14T12:41:32.277+0000] {logging_mixin.py:190} INFO - Skipping movie 1715571: could not fetch metadata.
[2026-07-14T12:41:35.030+0000] {logging_mixin.py:190} INFO - Skipping movie 929279: could not fetch metadata.
[2026-07-14T12:41:39.641+0000] {logging_mixin.py:190} INFO - Skipping movie 274054: could not fetch metadata.
[2026-07-14T12:41:43.891+0000] {logging_mixin.py:190} INFO - Skipping movie 405379: could not fetch metadata.
[2026-07-14T12:41:43.960+0000] {logging_mixin.py:190} INFO - Skipping movie 143241: could not fetch metadata.
[2026-07-14T12:41:45.250+0000] {logging_mixin.py:190} INFO - Skipping movie 1716145: could not fetch metadata.
[2026-07-14T12:41:47.422+0000] {logging_mixin.py:190} INFO - Skipping movie 274512: could not fetch metadata.
[2026-07-14T12:41:47.625+0000] {logging_mixin.py:190} INFO - Skipping movie 1716316: could not fetch metadata.
