[2026-07-14T12:34:20.717+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-14T12:34:20.777+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-03T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.802+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-03T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.804+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-14T12:34:20.841+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-03 00:00:00+00:00
[2026-07-14T12:34:20.863+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=185) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-14T12:34:20.873+0000] {standard_task_runner.py:72} INFO - Started process 191 to run task
[2026-07-14T12:34:20.872+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-03T00:00:00+00:00', '--job-id', '71', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpyosey2bs']
[2026-07-14T12:34:20.880+0000] {standard_task_runner.py:105} INFO - Job 71: Subtask incremental_sync_pipeline
[2026-07-14T12:34:21.135+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-03T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-14T12:34:21.540+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-03T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-03T00:00:00+00:00'
[2026-07-14T12:34:21.544+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-14T12:34:21.683+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-02 → 2026-07-14...
[2026-07-14T12:34:21.709+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-02 -> 2026-07-08
[2026-07-14T12:36:13.376+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-09 -> 2026-07-14
[2026-07-14T12:37:08.530+0000] {logging_mixin.py:190} INFO - Found 38133 changed IDs. Syncing metadata...
[2026-07-14T12:37:10.944+0000] {logging_mixin.py:190} INFO - Skipping movie 1704003: could not fetch metadata.
[2026-07-14T12:37:18.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1442001: could not fetch metadata.
[2026-07-14T12:37:19.045+0000] {logging_mixin.py:190} INFO - Skipping movie 655611: could not fetch metadata.
[2026-07-14T12:37:21.743+0000] {logging_mixin.py:190} INFO - Skipping movie 1048904: could not fetch metadata.
[2026-07-14T12:37:27.624+0000] {logging_mixin.py:190} INFO - Skipping movie 1442230: could not fetch metadata.
[2026-07-14T12:37:34.272+0000] {logging_mixin.py:190} INFO - Skipping movie 393860: could not fetch metadata.
[2026-07-14T12:37:41.074+0000] {logging_mixin.py:190} INFO - Skipping movie 1704782: could not fetch metadata.
[2026-07-14T12:37:43.499+0000] {logging_mixin.py:190} INFO - Skipping movie 1311671: could not fetch metadata.
[2026-07-14T12:37:52.370+0000] {logging_mixin.py:190} INFO - Skipping movie 1312149: could not fetch metadata.
[2026-07-14T12:37:55.112+0000] {logging_mixin.py:190} INFO - Skipping movie 132650: could not fetch metadata.
[2026-07-14T12:38:00.420+0000] {logging_mixin.py:190} INFO - Skipping movie 1443616: could not fetch metadata.
[2026-07-14T12:38:04.671+0000] {logging_mixin.py:190} INFO - Skipping movie 264179: could not fetch metadata.
[2026-07-14T12:38:20.573+0000] {logging_mixin.py:190} INFO - Skipping movie 1706666: could not fetch metadata.
[2026-07-14T12:38:24.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1575711: could not fetch metadata.
[2026-07-14T12:38:26.341+0000] {logging_mixin.py:190} INFO - Skipping movie 1444719: could not fetch metadata.
[2026-07-14T12:38:26.834+0000] {logging_mixin.py:190} INFO - Skipping movie 134042: could not fetch metadata.
[2026-07-14T12:38:31.203+0000] {logging_mixin.py:190} INFO - Skipping movie 1575960: could not fetch metadata.
[2026-07-14T12:38:35.469+0000] {logging_mixin.py:190} INFO - Skipping movie 1445119: could not fetch metadata.
[2026-07-14T12:38:35.960+0000] {logging_mixin.py:190} INFO - Skipping movie 789780: could not fetch metadata.
[2026-07-14T12:38:37.522+0000] {logging_mixin.py:190} INFO - Skipping movie 1707412: could not fetch metadata.
[2026-07-14T12:38:39.794+0000] {logging_mixin.py:190} INFO - Skipping movie 1707525: could not fetch metadata.
[2026-07-14T12:38:40.796+0000] {logging_mixin.py:190} INFO - Skipping movie 396883: could not fetch metadata.
[2026-07-14T12:38:49.313+0000] {logging_mixin.py:190} INFO - Skipping movie 528572: could not fetch metadata.
[2026-07-14T12:38:50.649+0000] {logging_mixin.py:190} INFO - Skipping movie 1708265: could not fetch metadata.
[2026-07-14T12:38:54.342+0000] {logging_mixin.py:190} INFO - Skipping movie 1446368: could not fetch metadata.
[2026-07-14T12:38:59.430+0000] {logging_mixin.py:190} INFO - Skipping movie 1446628: could not fetch metadata.
[2026-07-14T12:39:01.017+0000] {logging_mixin.py:190} INFO - Skipping movie 1708870: could not fetch metadata.
[2026-07-14T12:39:01.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1708867: could not fetch metadata.
[2026-07-14T12:39:02.435+0000] {logging_mixin.py:190} INFO - Skipping movie 1184644: could not fetch metadata.
[2026-07-14T12:39:02.458+0000] {logging_mixin.py:190} INFO - Skipping movie 791460: could not fetch metadata.
[2026-07-14T12:39:02.590+0000] {logging_mixin.py:190} INFO - Skipping movie 1184685: could not fetch metadata.
[2026-07-14T12:39:02.799+0000] {logging_mixin.py:190} INFO - Skipping movie 1184698: could not fetch metadata.
[2026-07-14T12:39:03.133+0000] {logging_mixin.py:190} INFO - Skipping movie 1184711: could not fetch metadata.
[2026-07-14T12:39:04.674+0000] {logging_mixin.py:190} INFO - Skipping movie 1709180: could not fetch metadata.
[2026-07-14T12:39:05.651+0000] {logging_mixin.py:190} INFO - Skipping movie 791744: could not fetch metadata.
[2026-07-14T12:39:09.847+0000] {logging_mixin.py:190} INFO - Skipping movie 792015: could not fetch metadata.
[2026-07-14T12:39:09.989+0000] {logging_mixin.py:190} INFO - Skipping movie 1709580: could not fetch metadata.
[2026-07-14T12:39:10.172+0000] {logging_mixin.py:190} INFO - Skipping movie 1447453: could not fetch metadata.
[2026-07-14T12:39:13.067+0000] {logging_mixin.py:190} INFO - Skipping movie 923386: could not fetch metadata.
[2026-07-14T12:39:13.339+0000] {logging_mixin.py:190} INFO - Skipping movie 661260: could not fetch metadata.
[2026-07-14T12:39:18.404+0000] {logging_mixin.py:190} INFO - Skipping movie 1185893: could not fetch metadata.
[2026-07-14T12:39:18.770+0000] {logging_mixin.py:190} INFO - Skipping movie 1579117: could not fetch metadata.
[2026-07-14T12:39:22.674+0000] {logging_mixin.py:190} INFO - Skipping movie 530765: could not fetch metadata.
[2026-07-14T12:39:23.067+0000] {logging_mixin.py:190} INFO - Skipping movie 399737: could not fetch metadata.
[2026-07-14T12:39:29.207+0000] {logging_mixin.py:190} INFO - Skipping movie 1710810: could not fetch metadata.
[2026-07-14T12:39:30.904+0000] {logging_mixin.py:190} INFO - Skipping movie 531280: could not fetch metadata.
[2026-07-14T12:39:31.182+0000] {logging_mixin.py:190} INFO - Skipping movie 1710941: could not fetch metadata.
[2026-07-14T12:39:31.985+0000] {logging_mixin.py:190} INFO - Skipping movie 1448869: could not fetch metadata.
[2026-07-14T12:39:35.069+0000] {logging_mixin.py:190} INFO - Skipping movie 1318019: could not fetch metadata.
[2026-07-14T12:39:40.590+0000] {logging_mixin.py:190} INFO - Skipping movie 1318384: could not fetch metadata.
[2026-07-14T12:39:41.037+0000] {logging_mixin.py:190} INFO - Skipping movie 1711628: could not fetch metadata.
[2026-07-14T12:39:43.092+0000] {logging_mixin.py:190} INFO - Skipping movie 1056441: could not fetch metadata.
[2026-07-14T12:39:43.385+0000] {logging_mixin.py:190} INFO - Skipping movie 1711804: could not fetch metadata.
[2026-07-14T12:39:43.427+0000] {logging_mixin.py:190} INFO - Skipping movie 1449662: could not fetch metadata.
[2026-07-14T12:39:46.186+0000] {logging_mixin.py:190} INFO - Skipping movie 270212: could not fetch metadata.
[2026-07-14T12:39:46.336+0000] {logging_mixin.py:190} INFO - Skipping movie 270214: could not fetch metadata.
[2026-07-14T12:39:46.361+0000] {logging_mixin.py:190} INFO - Skipping movie 270216: could not fetch metadata.
[2026-07-14T12:39:46.461+0000] {logging_mixin.py:190} INFO - Skipping movie 1712011: could not fetch metadata.
[2026-07-14T12:39:47.994+0000] {logging_mixin.py:190} INFO - Skipping movie 1581054: could not fetch metadata.
[2026-07-14T12:39:50.194+0000] {logging_mixin.py:190} INFO - Skipping movie 794681: could not fetch metadata.
[2026-07-14T12:39:50.810+0000] {logging_mixin.py:190} INFO - Skipping movie 794707: could not fetch metadata.
[2026-07-14T12:39:56.581+0000] {logging_mixin.py:190} INFO - Skipping movie 1712511: could not fetch metadata.
[2026-07-14T12:39:57.991+0000] {logging_mixin.py:190} INFO - Skipping movie 1712598: could not fetch metadata.
[2026-07-14T12:39:59.730+0000] {logging_mixin.py:190} INFO - Skipping movie 1581606: could not fetch metadata.
[2026-07-14T12:40:10.392+0000] {logging_mixin.py:190} INFO - Skipping movie 1320015: could not fetch metadata.
[2026-07-14T12:40:32.879+0000] {logging_mixin.py:190} INFO - Skipping movie 403194: could not fetch metadata.
[2026-07-14T12:40:34.023+0000] {logging_mixin.py:190} INFO - Skipping movie 272167: could not fetch metadata.
[2026-07-14T12:40:40.638+0000] {logging_mixin.py:190} INFO - Skipping movie 1714176: could not fetch metadata.
[2026-07-14T12:40:41.522+0000] {logging_mixin.py:190} INFO - Skipping movie 1714224: could not fetch metadata.
[2026-07-14T12:40:42.845+0000] {logging_mixin.py:190} INFO - Skipping movie 1714259: could not fetch metadata.
[2026-07-14T12:41:06.043+0000] {logging_mixin.py:190} INFO - Skipping movie 1714794: could not fetch metadata.
[2026-07-14T12:41:10.157+0000] {logging_mixin.py:190} INFO - Skipping movie 1714939: could not fetch metadata.
[2026-07-14T12:41:10.394+0000] {logging_mixin.py:190} INFO - Skipping movie 1059590: could not fetch metadata.
[2026-07-14T12:41:12.963+0000] {logging_mixin.py:190} INFO - Skipping movie 1715017: could not fetch metadata.
[2026-07-14T12:41:21.591+0000] {logging_mixin.py:190} INFO - Skipping movie 1715291: could not fetch metadata.
[2026-07-14T12:41:23.396+0000] {logging_mixin.py:190} INFO - Skipping movie 1715313: could not fetch metadata.
[2026-07-14T12:41:24.384+0000] {logging_mixin.py:190} INFO - Skipping movie 1715352: could not fetch metadata.
[2026-07-14T12:41:24.389+0000] {logging_mixin.py:190} INFO - Skipping movie 1715357: could not fetch metadata.
[2026-07-14T12:41:25.975+0000] {logging_mixin.py:190} INFO - Skipping movie 1715323: could not fetch metadata.
[2026-07-14T12:41:26.964+0000] {logging_mixin.py:190} INFO - Skipping movie 1715401: could not fetch metadata.
[2026-07-14T12:41:27.080+0000] {logging_mixin.py:190} INFO - Skipping movie 1715403: could not fetch metadata.
[2026-07-14T12:41:27.190+0000] {logging_mixin.py:190} INFO - Skipping movie 1715406: could not fetch metadata.
[2026-07-14T12:41:27.250+0000] {logging_mixin.py:190} INFO - Skipping movie 1715407: could not fetch metadata.
[2026-07-14T12:41:28.171+0000] {logging_mixin.py:190} INFO - Skipping movie 1715439: could not fetch metadata.
[2026-07-14T12:41:28.533+0000] {logging_mixin.py:190} INFO - Skipping movie 1715451: could not fetch metadata.
[2026-07-14T12:41:32.263+0000] {logging_mixin.py:190} INFO - Skipping movie 1715571: could not fetch metadata.
[2026-07-14T12:41:35.077+0000] {logging_mixin.py:190} INFO - Skipping movie 929279: could not fetch metadata.
[2026-07-14T12:41:39.641+0000] {logging_mixin.py:190} INFO - Skipping movie 274054: could not fetch metadata.
[2026-07-14T12:41:43.893+0000] {logging_mixin.py:190} INFO - Skipping movie 405379: could not fetch metadata.
[2026-07-14T12:41:43.948+0000] {logging_mixin.py:190} INFO - Skipping movie 143241: could not fetch metadata.
[2026-07-14T12:41:45.245+0000] {logging_mixin.py:190} INFO - Skipping movie 1716145: could not fetch metadata.
[2026-07-14T12:41:47.427+0000] {logging_mixin.py:190} INFO - Skipping movie 274512: could not fetch metadata.
[2026-07-14T12:41:47.643+0000] {logging_mixin.py:190} INFO - Skipping movie 1716316: could not fetch metadata.
[2026-07-14T12:41:52.007+0000] {logging_mixin.py:190} INFO - Skipping movie 1716536: could not fetch metadata.
[2026-07-14T12:41:55.246+0000] {logging_mixin.py:190} INFO - Skipping movie 1716671: could not fetch metadata.
[2026-07-14T12:41:58.948+0000] {logging_mixin.py:190} INFO - Skipping movie 1716940: could not fetch metadata.
[2026-07-14T12:42:00.351+0000] {logging_mixin.py:190} INFO - Skipping movie 1717030: could not fetch metadata.
[2026-07-14T12:42:06.766+0000] {logging_mixin.py:190} INFO - Skipping movie 930828: could not fetch metadata.
[2026-07-14T12:42:08.608+0000] {logging_mixin.py:190} INFO - Skipping movie 1717350: could not fetch metadata.
[2026-07-14T12:42:09.039+0000] {logging_mixin.py:190} INFO - Skipping movie 1717367: could not fetch metadata.
[2026-07-14T12:42:11.710+0000] {logging_mixin.py:190} INFO - Skipping movie 1324239: could not fetch metadata.
[2026-07-14T12:42:14.133+0000] {logging_mixin.py:190} INFO - Skipping movie 1717584: could not fetch metadata.
[2026-07-14T12:42:20.274+0000] {logging_mixin.py:190} INFO - Skipping movie 1717857: could not fetch metadata.
[2026-07-14T12:42:53.132+0000] {logging_mixin.py:190} INFO - Skipping movie 1587486: could not fetch metadata.
[2026-07-14T12:42:53.657+0000] {logging_mixin.py:190} INFO - Skipping movie 1718611: could not fetch metadata.
[2026-07-14T12:42:59.312+0000] {logging_mixin.py:190} INFO - Skipping movie 1718934: could not fetch metadata.
[2026-07-14T12:42:59.594+0000] {logging_mixin.py:190} INFO - Skipping movie 1718993: could not fetch metadata.
[2026-07-14T12:43:00.241+0000] {logging_mixin.py:190} INFO - Skipping movie 1194727: could not fetch metadata.
[2026-07-14T12:43:00.853+0000] {logging_mixin.py:190} INFO - Skipping movie 670478: could not fetch metadata.
[2026-07-14T12:43:03.983+0000] {logging_mixin.py:190} INFO - Skipping movie 1194923: could not fetch metadata.
[2026-07-14T12:43:04.280+0000] {logging_mixin.py:190} INFO - Skipping movie 932790: could not fetch metadata.
[2026-07-14T12:43:09.869+0000] {logging_mixin.py:190} INFO - Skipping movie 146681: could not fetch metadata.
[2026-07-14T12:43:13.287+0000] {logging_mixin.py:190} INFO - Skipping movie 802167: could not fetch metadata.
[2026-07-14T12:43:14.283+0000] {logging_mixin.py:190} INFO - Skipping movie 1719735: could not fetch metadata.
[2026-07-14T12:43:20.852+0000] {logging_mixin.py:190} INFO - Skipping movie 1720007: could not fetch metadata.
[2026-07-14T12:43:25.159+0000] {logging_mixin.py:190} INFO - Skipping movie 1720212: could not fetch metadata.
[2026-07-14T12:43:30.042+0000] {logging_mixin.py:190} INFO - Skipping movie 1201653: could not fetch metadata.
[2026-07-14T12:43:30.408+0000] {logging_mixin.py:190} INFO - Skipping movie 1720450: could not fetch metadata.
[2026-07-14T12:43:30.461+0000] {logging_mixin.py:190} INFO - Skipping movie 1720455: could not fetch metadata.
[2026-07-14T12:43:30.667+0000] {logging_mixin.py:190} INFO - Skipping movie 1720460: could not fetch metadata.
[2026-07-14T12:43:31.833+0000] {logging_mixin.py:190} INFO - Skipping movie 1720575: could not fetch metadata.
[2026-07-14T12:43:32.061+0000] {logging_mixin.py:190} INFO - Skipping movie 278764: could not fetch metadata.
[2026-07-14T12:43:36.542+0000] {logging_mixin.py:190} INFO - Skipping movie 1720841: could not fetch metadata.
