[2026-07-14T12:34:20.742+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-14T12:34:20.806+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-07T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.823+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-07T00:00:00+00:00 [queued]>
[2026-07-14T12:34:20.825+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-14T12:34:20.874+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-07 00:00:00+00:00
[2026-07-14T12:34:20.912+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=186) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-14T12:34:20.926+0000] {standard_task_runner.py:72} INFO - Started process 195 to run task
[2026-07-14T12:34:20.933+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-07T00:00:00+00:00', '--job-id', '74', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpmcqw9b0e']
[2026-07-14T12:34:20.952+0000] {standard_task_runner.py:105} INFO - Job 74: Subtask incremental_sync_pipeline
[2026-07-14T12:34:21.193+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-07T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-14T12:34:21.584+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-07T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-07T00:00:00+00:00'
[2026-07-14T12:34:21.587+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-14T12:34:21.682+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-02 → 2026-07-14...
[2026-07-14T12:34:21.706+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-02 -> 2026-07-08
[2026-07-14T12:36:13.307+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-09 -> 2026-07-14
[2026-07-14T12:37:08.545+0000] {logging_mixin.py:190} INFO - Found 38133 changed IDs. Syncing metadata...
[2026-07-14T12:37:10.977+0000] {logging_mixin.py:190} INFO - Skipping movie 1704003: could not fetch metadata.
[2026-07-14T12:37:18.211+0000] {logging_mixin.py:190} INFO - Skipping movie 1442001: could not fetch metadata.
[2026-07-14T12:37:19.042+0000] {logging_mixin.py:190} INFO - Skipping movie 655611: could not fetch metadata.
[2026-07-14T12:37:21.742+0000] {logging_mixin.py:190} INFO - Skipping movie 1048904: could not fetch metadata.
[2026-07-14T12:37:27.429+0000] {logging_mixin.py:190} INFO - Skipping movie 1442230: could not fetch metadata.
[2026-07-14T12:37:34.261+0000] {logging_mixin.py:190} INFO - Skipping movie 393860: could not fetch metadata.
[2026-07-14T12:37:41.075+0000] {logging_mixin.py:190} INFO - Skipping movie 1704782: could not fetch metadata.
[2026-07-14T12:37:43.489+0000] {logging_mixin.py:190} INFO - Skipping movie 1311671: could not fetch metadata.
[2026-07-14T12:37:52.382+0000] {logging_mixin.py:190} INFO - Skipping movie 1312149: could not fetch metadata.
[2026-07-14T12:37:55.111+0000] {logging_mixin.py:190} INFO - Skipping movie 132650: could not fetch metadata.
[2026-07-14T12:38:00.419+0000] {logging_mixin.py:190} INFO - Skipping movie 1443616: could not fetch metadata.
[2026-07-14T12:38:04.672+0000] {logging_mixin.py:190} INFO - Skipping movie 264179: could not fetch metadata.
[2026-07-14T12:38:20.566+0000] {logging_mixin.py:190} INFO - Skipping movie 1706666: could not fetch metadata.
[2026-07-14T12:38:24.527+0000] {logging_mixin.py:190} INFO - Skipping movie 1575711: could not fetch metadata.
[2026-07-14T12:38:26.325+0000] {logging_mixin.py:190} INFO - Skipping movie 1444719: could not fetch metadata.
[2026-07-14T12:38:26.831+0000] {logging_mixin.py:190} INFO - Skipping movie 134042: could not fetch metadata.
[2026-07-14T12:38:31.254+0000] {logging_mixin.py:190} INFO - Skipping movie 1575960: could not fetch metadata.
[2026-07-14T12:38:35.470+0000] {logging_mixin.py:190} INFO - Skipping movie 1445119: could not fetch metadata.
[2026-07-14T12:38:36.630+0000] {logging_mixin.py:190} INFO - Skipping movie 789780: could not fetch metadata.
