[2026-07-14T12:34:21.028+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-14T12:34:21.094+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-13T00:00:00+00:00 [queued]>
[2026-07-14T12:34:21.127+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-13T00:00:00+00:00 [queued]>
[2026-07-14T12:34:21.129+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-14T12:34:21.169+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-13 00:00:00+00:00
[2026-07-14T12:34:21.190+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-13T00:00:00+00:00', '--job-id', '75', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp913dwfqr']
[2026-07-14T12:34:21.201+0000] {standard_task_runner.py:105} INFO - Job 75: Subtask incremental_sync_pipeline
[2026-07-14T12:34:21.200+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=190) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-14T12:34:21.205+0000] {standard_task_runner.py:72} INFO - Started process 199 to run task
[2026-07-14T12:34:21.451+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-13T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-14T12:34:21.774+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-13T00:00:00+00:00'
[2026-07-14T12:34:21.776+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-14T12:34:21.831+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-02 → 2026-07-14...
[2026-07-14T12:34:21.863+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-02 -> 2026-07-08
[2026-07-14T12:36:13.377+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-09 -> 2026-07-14
[2026-07-14T12:37:08.544+0000] {logging_mixin.py:190} INFO - Found 38133 changed IDs. Syncing metadata...
[2026-07-14T12:37:11.005+0000] {logging_mixin.py:190} INFO - Skipping movie 1704003: could not fetch metadata.
[2026-07-14T12:37:18.210+0000] {logging_mixin.py:190} INFO - Skipping movie 1442001: could not fetch metadata.
[2026-07-14T12:37:19.042+0000] {logging_mixin.py:190} INFO - Skipping movie 655611: could not fetch metadata.
[2026-07-14T12:37:21.745+0000] {logging_mixin.py:190} INFO - Skipping movie 1048904: could not fetch metadata.
[2026-07-14T12:37:27.432+0000] {logging_mixin.py:190} INFO - Skipping movie 1442230: could not fetch metadata.
[2026-07-14T12:37:34.257+0000] {logging_mixin.py:190} INFO - Skipping movie 393860: could not fetch metadata.
[2026-07-14T12:37:41.079+0000] {logging_mixin.py:190} INFO - Skipping movie 1704782: could not fetch metadata.
[2026-07-14T12:37:43.490+0000] {logging_mixin.py:190} INFO - Skipping movie 1311671: could not fetch metadata.
[2026-07-14T12:37:52.367+0000] {logging_mixin.py:190} INFO - Skipping movie 1312149: could not fetch metadata.
[2026-07-14T12:37:55.129+0000] {logging_mixin.py:190} INFO - Skipping movie 132650: could not fetch metadata.
[2026-07-14T12:38:00.421+0000] {logging_mixin.py:190} INFO - Skipping movie 1443616: could not fetch metadata.
[2026-07-14T12:38:04.677+0000] {logging_mixin.py:190} INFO - Skipping movie 264179: could not fetch metadata.
[2026-07-14T12:38:20.573+0000] {logging_mixin.py:190} INFO - Skipping movie 1706666: could not fetch metadata.
[2026-07-14T12:38:24.530+0000] {logging_mixin.py:190} INFO - Skipping movie 1575711: could not fetch metadata.
[2026-07-14T12:38:26.324+0000] {logging_mixin.py:190} INFO - Skipping movie 1444719: could not fetch metadata.
[2026-07-14T12:38:26.831+0000] {logging_mixin.py:190} INFO - Skipping movie 134042: could not fetch metadata.
[2026-07-14T12:38:31.254+0000] {logging_mixin.py:190} INFO - Skipping movie 1575960: could not fetch metadata.
[2026-07-14T12:38:35.469+0000] {logging_mixin.py:190} INFO - Skipping movie 1445119: could not fetch metadata.
[2026-07-14T12:38:35.957+0000] {logging_mixin.py:190} INFO - Skipping movie 789780: could not fetch metadata.
