[2026-07-15T09:57:23.397+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-15T09:57:23.428+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-14T00:00:00+00:00 [queued]>
[2026-07-15T09:57:23.442+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-14T00:00:00+00:00 [queued]>
[2026-07-15T09:57:23.443+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-15T09:57:23.463+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-14 00:00:00+00:00
[2026-07-15T09:57:23.474+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=7569) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-15T09:57:23.473+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-14T00:00:00+00:00', '--job-id', '77', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp2hll4334']
[2026-07-15T09:57:23.476+0000] {standard_task_runner.py:72} INFO - Started process 7570 to run task
[2026-07-15T09:57:23.477+0000] {standard_task_runner.py:105} INFO - Job 77: Subtask incremental_sync_pipeline
[2026-07-15T09:57:23.557+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-14T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-15T09:57:23.717+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-14T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-14T00:00:00+00:00'
[2026-07-15T09:57:23.718+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-15T09:57:23.770+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-14 → 2026-07-15...
[2026-07-15T09:57:23.790+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-14 -> 2026-07-15
[2026-07-15T09:57:38.235+0000] {logging_mixin.py:190} INFO - Found 5123 changed IDs. Syncing metadata...
[2026-07-15T09:57:38.941+0000] {logging_mixin.py:190} INFO - Skipping movie 1081418: could not fetch metadata.
[2026-07-15T09:57:41.187+0000] {logging_mixin.py:190} INFO - Skipping movie 1278631: could not fetch metadata.
[2026-07-15T09:57:41.993+0000] {logging_mixin.py:190} INFO - Skipping movie 1606474: could not fetch metadata.
[2026-07-15T09:57:42.060+0000] {logging_mixin.py:190} INFO - Skipping movie 1606480: could not fetch metadata.
[2026-07-15T09:57:42.659+0000] {logging_mixin.py:190} INFO - Skipping movie 1639459: could not fetch metadata.
[2026-07-15T09:57:43.084+0000] {logging_mixin.py:190} INFO - Skipping movie 1311852: could not fetch metadata.
[2026-07-15T09:57:44.171+0000] {logging_mixin.py:190} INFO - Skipping movie 1443411: could not fetch metadata.
[2026-07-15T09:57:44.350+0000] {logging_mixin.py:190} INFO - Skipping movie 1476280: could not fetch metadata.
[2026-07-15T09:57:45.516+0000] {logging_mixin.py:190} INFO - Skipping movie 1640584: could not fetch metadata.
[2026-07-15T09:57:45.687+0000] {logging_mixin.py:190} INFO - Skipping movie 1509666: could not fetch metadata.
[2026-07-15T09:57:45.862+0000] {logging_mixin.py:190} INFO - Skipping movie 1706338: could not fetch metadata.
[2026-07-15T09:57:46.318+0000] {logging_mixin.py:190} INFO - Skipping movie 1083934: could not fetch metadata.
[2026-07-15T09:57:46.686+0000] {logging_mixin.py:190} INFO - Skipping movie 953019: could not fetch metadata.
[2026-07-15T09:57:47.489+0000] {logging_mixin.py:190} INFO - Skipping movie 953262: could not fetch metadata.
[2026-07-15T09:57:48.540+0000] {logging_mixin.py:190} INFO - Skipping movie 1150223: could not fetch metadata.
[2026-07-15T09:57:48.654+0000] {logging_mixin.py:190} INFO - Skipping movie 1707336: could not fetch metadata.
[2026-07-15T09:57:49.065+0000] {logging_mixin.py:190} INFO - Skipping movie 1281545: could not fetch metadata.
[2026-07-15T09:57:49.072+0000] {logging_mixin.py:190} INFO - Skipping movie 1281547: could not fetch metadata.
[2026-07-15T09:57:49.107+0000] {logging_mixin.py:190} INFO - Skipping movie 1281548: could not fetch metadata.
[2026-07-15T09:57:49.145+0000] {logging_mixin.py:190} INFO - Skipping movie 1281550: could not fetch metadata.
