[2026-07-16T00:36:26.997+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-16T00:36:27.056+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-15T00:00:00+00:00 [queued]>
[2026-07-16T00:36:27.080+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-15T00:00:00+00:00 [queued]>
[2026-07-16T00:36:27.082+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-16T00:36:27.124+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-15 00:00:00+00:00
[2026-07-16T00:36:27.151+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=14885) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-16T00:36:27.150+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-15T00:00:00+00:00', '--job-id', '79', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpjd16p_45']
[2026-07-16T00:36:27.155+0000] {standard_task_runner.py:72} INFO - Started process 14886 to run task
[2026-07-16T00:36:27.156+0000] {standard_task_runner.py:105} INFO - Job 79: Subtask incremental_sync_pipeline
[2026-07-16T00:36:27.327+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-15T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-16T00:36:27.633+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-15T00:00:00+00:00'
[2026-07-16T00:36:27.636+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-16T00:36:27.712+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-15 → 2026-07-16...
[2026-07-16T00:36:27.739+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-15 -> 2026-07-16
[2026-07-16T00:36:38.800+0000] {logging_mixin.py:190} INFO - Found 3929 changed IDs. Syncing metadata...
[2026-07-16T00:36:39.540+0000] {logging_mixin.py:190} INFO - Skipping movie 1662991: could not fetch metadata.
[2026-07-16T00:36:40.148+0000] {logging_mixin.py:190} INFO - Skipping movie 1589306: could not fetch metadata.
[2026-07-16T00:36:40.193+0000] {logging_mixin.py:190} INFO - Skipping movie 852036: could not fetch metadata.
[2026-07-16T00:36:40.312+0000] {logging_mixin.py:190} INFO - Skipping movie 1163348: could not fetch metadata.
[2026-07-16T00:36:40.444+0000] {logging_mixin.py:190} INFO - Skipping movie 1531998: could not fetch metadata.
[2026-07-16T00:36:40.623+0000] {logging_mixin.py:190} INFO - Skipping movie 991342: could not fetch metadata.
[2026-07-16T00:36:41.455+0000] {logging_mixin.py:190} INFO - Skipping movie 1695905: could not fetch metadata.
[2026-07-16T00:36:41.786+0000] {logging_mixin.py:190} INFO - Skipping movie 884919: could not fetch metadata.
[2026-07-16T00:36:41.962+0000] {logging_mixin.py:190} INFO - Skipping movie 1556687: could not fetch metadata.
[2026-07-16T00:36:42.197+0000] {logging_mixin.py:190} INFO - Skipping movie 1269979: could not fetch metadata.
[2026-07-16T00:36:42.368+0000] {logging_mixin.py:190} INFO - Skipping movie 1474809: could not fetch metadata.
[2026-07-16T00:36:43.911+0000] {logging_mixin.py:190} INFO - Skipping movie 1720637: could not fetch metadata.
[2026-07-16T00:36:44.035+0000] {logging_mixin.py:190} INFO - Skipping movie 1720653: could not fetch metadata.
[2026-07-16T00:36:44.284+0000] {logging_mixin.py:190} INFO - Skipping movie 1720658: could not fetch metadata.
[2026-07-16T00:36:45.787+0000] {logging_mixin.py:190} INFO - Skipping movie 1622413: could not fetch metadata.
[2026-07-16T00:36:49.086+0000] {logging_mixin.py:190} INFO - Skipping movie 975415: could not fetch metadata.
[2026-07-16T00:36:49.593+0000] {logging_mixin.py:190} INFO - Skipping movie 1581650: could not fetch metadata.
[2026-07-16T00:36:49.882+0000] {logging_mixin.py:190} INFO - Skipping movie 1393247: could not fetch metadata.
[2026-07-16T00:36:50.627+0000] {logging_mixin.py:190} INFO - Skipping movie 1458824: could not fetch metadata.
[2026-07-16T00:36:51.908+0000] {logging_mixin.py:190} INFO - Skipping movie 1278631: could not fetch metadata.
[2026-07-16T00:36:51.832+0000] {logging_mixin.py:190} INFO - Skipping movie 1532581: could not fetch metadata.
[2026-07-16T00:36:52.141+0000] {logging_mixin.py:190} INFO - Skipping movie 1729203: could not fetch metadata.
[2026-07-16T00:36:52.883+0000] {logging_mixin.py:190} INFO - Skipping movie 1327812: could not fetch metadata.
[2026-07-16T00:36:53.587+0000] {logging_mixin.py:190} INFO - Skipping movie 1147608: could not fetch metadata.
[2026-07-16T00:36:54.057+0000] {logging_mixin.py:190} INFO - Skipping movie 1450721: could not fetch metadata.
[2026-07-16T00:36:56.238+0000] {logging_mixin.py:190} INFO - Skipping movie 1475363: could not fetch metadata.
[2026-07-16T00:36:57.519+0000] {logging_mixin.py:190} INFO - Skipping movie 1606474: could not fetch metadata.
[2026-07-16T00:36:57.589+0000] {logging_mixin.py:190} INFO - Skipping movie 1606475: could not fetch metadata.
[2026-07-16T00:36:57.989+0000] {logging_mixin.py:190} INFO - Skipping movie 1721173: could not fetch metadata.
[2026-07-16T00:37:00.226+0000] {logging_mixin.py:190} INFO - Skipping movie 1622949: could not fetch metadata.
[2026-07-16T00:37:00.806+0000] {logging_mixin.py:190} INFO - Skipping movie 1336251: could not fetch metadata.
[2026-07-16T00:37:01.865+0000] {logging_mixin.py:190} INFO - Skipping movie 1614815: could not fetch metadata.
[2026-07-16T00:37:01.891+0000] {logging_mixin.py:190} INFO - Skipping movie 1524707: could not fetch metadata.
[2026-07-16T00:37:02.334+0000] {logging_mixin.py:190} INFO - Skipping movie 1524717: could not fetch metadata.
[2026-07-16T00:37:02.502+0000] {logging_mixin.py:190} INFO - Skipping movie 1524718: could not fetch metadata.
[2026-07-16T00:37:02.525+0000] {logging_mixin.py:190} INFO - Skipping movie 1074161: could not fetch metadata.
[2026-07-16T00:37:02.665+0000] {logging_mixin.py:190} INFO - Skipping movie 1524722: could not fetch metadata.
[2026-07-16T00:37:02.804+0000] {logging_mixin.py:190} INFO - Skipping movie 1524724: could not fetch metadata.
[2026-07-16T00:37:02.910+0000] {logging_mixin.py:190} INFO - Skipping movie 1319928: could not fetch metadata.
[2026-07-16T00:37:03.821+0000] {logging_mixin.py:190} INFO - Skipping movie 1238066: could not fetch metadata.
[2026-07-16T00:37:04.252+0000] {logging_mixin.py:190} INFO - Skipping movie 1557572: could not fetch metadata.
[2026-07-16T00:37:05.703+0000] {logging_mixin.py:190} INFO - Skipping movie 1475708: could not fetch metadata.
[2026-07-16T00:37:05.799+0000] {logging_mixin.py:190} INFO - Skipping movie 1336446: could not fetch metadata.
[2026-07-16T00:37:06.239+0000] {logging_mixin.py:190} INFO - Skipping movie 1713295: could not fetch metadata.
[2026-07-16T00:37:06.230+0000] {logging_mixin.py:190} INFO - Skipping movie 1713294: could not fetch metadata.
[2026-07-16T00:37:06.378+0000] {logging_mixin.py:190} INFO - Skipping movie 296084: could not fetch metadata.
[2026-07-16T00:37:06.479+0000] {logging_mixin.py:190} INFO - Skipping movie 296086: could not fetch metadata.
[2026-07-16T00:37:06.626+0000] {logging_mixin.py:190} INFO - Skipping movie 1320089: could not fetch metadata.
[2026-07-16T00:37:06.629+0000] {logging_mixin.py:190} INFO - Skipping movie 738458: could not fetch metadata.
[2026-07-16T00:37:06.849+0000] {logging_mixin.py:190} INFO - Skipping movie 1696926: could not fetch metadata.
[2026-07-16T00:37:08.018+0000] {logging_mixin.py:190} INFO - Skipping movie 345305: could not fetch metadata.
[2026-07-16T00:37:08.063+0000] {logging_mixin.py:190} INFO - Skipping movie 1729754: could not fetch metadata.
[2026-07-16T00:37:08.257+0000] {logging_mixin.py:190} INFO - Skipping movie 1729761: could not fetch metadata.
[2026-07-16T00:37:08.310+0000] {logging_mixin.py:190} INFO - Skipping movie 1434850: could not fetch metadata.
[2026-07-16T00:37:08.841+0000] {logging_mixin.py:190} INFO - Skipping movie 1262842: could not fetch metadata.
[2026-07-16T00:37:10.433+0000] {logging_mixin.py:190} INFO - Skipping movie 1271105: could not fetch metadata.
[2026-07-16T00:37:11.284+0000] {logging_mixin.py:190} INFO - Skipping movie 1639775: could not fetch metadata.
[2026-07-16T00:37:11.384+0000] {logging_mixin.py:190} INFO - Skipping movie 1336674: could not fetch metadata.
[2026-07-16T00:37:12.263+0000] {logging_mixin.py:190} INFO - Skipping movie 984443: could not fetch metadata.
[2026-07-16T00:37:12.659+0000] {logging_mixin.py:190} INFO - Skipping movie 1590676: could not fetch metadata.
[2026-07-16T00:37:12.680+0000] {logging_mixin.py:190} INFO - Skipping movie 951701: could not fetch metadata.
[2026-07-16T00:37:12.760+0000] {logging_mixin.py:190} INFO - Skipping movie 1475990: could not fetch metadata.
[2026-07-16T00:37:15.081+0000] {logging_mixin.py:190} INFO - Skipping movie 1385987: could not fetch metadata.
[2026-07-16T00:37:16.276+0000] {logging_mixin.py:190} INFO - Skipping movie 1721902: could not fetch metadata.
[2026-07-16T00:37:16.821+0000] {logging_mixin.py:190} INFO - Skipping movie 935500: could not fetch metadata.
[2026-07-16T00:37:17.085+0000] {logging_mixin.py:190} INFO - Skipping movie 1279566: could not fetch metadata.
[2026-07-16T00:37:17.155+0000] {logging_mixin.py:190} INFO - Skipping movie 1279564: could not fetch metadata.
