[2026-07-17T03:02:43.916+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-17T03:02:43.961+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-16T00:00:00+00:00 [queued]>
[2026-07-17T03:02:43.979+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-16T00:00:00+00:00 [queued]>
[2026-07-17T03:02:43.981+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-17T03:02:44.010+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-16 00:00:00+00:00
[2026-07-17T03:02:44.027+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=21631) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-17T03:02:44.030+0000] {standard_task_runner.py:72} INFO - Started process 21632 to run task
[2026-07-17T03:02:44.026+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-16T00:00:00+00:00', '--job-id', '81', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp0jnqvjrq']
[2026-07-17T03:02:44.032+0000] {standard_task_runner.py:105} INFO - Job 81: Subtask incremental_sync_pipeline
[2026-07-17T03:02:44.168+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-16T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-17T03:02:44.495+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-16T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-16T00:00:00+00:00'
[2026-07-17T03:02:44.498+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-17T03:02:44.567+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-16 → 2026-07-17...
[2026-07-17T03:02:44.586+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-16 -> 2026-07-17
[2026-07-17T03:02:54.113+0000] {logging_mixin.py:190} INFO - Found 3378 changed IDs. Syncing metadata...
[2026-07-17T03:02:54.949+0000] {logging_mixin.py:190} INFO - Skipping movie 1531906: could not fetch metadata.
[2026-07-17T03:02:56.337+0000] {logging_mixin.py:190} INFO - Skipping movie 1654869: could not fetch metadata.
[2026-07-17T03:02:57.129+0000] {logging_mixin.py:190} INFO - Skipping movie 1482902: could not fetch metadata.
[2026-07-17T03:02:58.992+0000] {logging_mixin.py:190} INFO - Skipping movie 598232: could not fetch metadata.
[2026-07-17T03:03:03.873+0000] {logging_mixin.py:190} INFO - Skipping movie 1647042: could not fetch metadata.
[2026-07-17T03:03:04.850+0000] {logging_mixin.py:190} INFO - Skipping movie 1732530: could not fetch metadata.
[2026-07-17T03:03:05.455+0000] {logging_mixin.py:190} INFO - Skipping movie 1732535: could not fetch metadata.
[2026-07-17T03:03:06.735+0000] {logging_mixin.py:190} INFO - Skipping movie 1732543: could not fetch metadata.
[2026-07-17T03:03:13.422+0000] {logging_mixin.py:190} INFO - Skipping movie 1639196: could not fetch metadata.
[2026-07-17T03:03:28.798+0000] {logging_mixin.py:190} INFO - Skipping movie 1730045: could not fetch metadata.
[2026-07-17T03:03:31.361+0000] {logging_mixin.py:190} INFO - Skipping movie 1730166: could not fetch metadata.
[2026-07-17T03:03:31.411+0000] {logging_mixin.py:190} INFO - Skipping movie 1730172: could not fetch metadata.
[2026-07-17T03:03:38.063+0000] {logging_mixin.py:190} INFO - Skipping movie 1656707: could not fetch metadata.
[2026-07-17T03:03:38.162+0000] {logging_mixin.py:190} INFO - Skipping movie 894853: could not fetch metadata.
[2026-07-17T03:03:38.407+0000] {logging_mixin.py:190} INFO - Skipping movie 1664910: could not fetch metadata.
[2026-07-17T03:03:39.645+0000] {logging_mixin.py:190} INFO - Skipping movie 1689587: could not fetch metadata.
[2026-07-17T03:03:43.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1632455: could not fetch metadata.
[2026-07-17T03:03:51.037+0000] {logging_mixin.py:190} INFO - Skipping movie 1706621: could not fetch metadata.
[2026-07-17T03:03:55.427+0000] {logging_mixin.py:190} INFO - Skipping movie 1731398: could not fetch metadata.
[2026-07-17T03:03:59.378+0000] {logging_mixin.py:190} INFO - Skipping movie 1510378: could not fetch metadata.
