[2026-07-18T11:50:09.855+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-18T11:50:09.887+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-17T00:00:00+00:00 [queued]>
[2026-07-18T11:50:09.908+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-17T00:00:00+00:00 [queued]>
[2026-07-18T11:50:09.909+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-18T11:50:09.942+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-17 00:00:00+00:00
[2026-07-18T11:50:09.955+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=26729) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-18T11:50:09.953+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-17T00:00:00+00:00', '--job-id', '82', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmp8rtoy6wt']
[2026-07-18T11:50:09.957+0000] {standard_task_runner.py:72} INFO - Started process 26730 to run task
[2026-07-18T11:50:09.957+0000] {standard_task_runner.py:105} INFO - Job 82: Subtask incremental_sync_pipeline
[2026-07-18T11:50:10.049+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-17T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-18T11:50:10.222+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-17T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-17T00:00:00+00:00'
[2026-07-18T11:50:10.225+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-18T11:50:10.282+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-17 → 2026-07-18...
[2026-07-18T11:50:10.317+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-17 -> 2026-07-18
[2026-07-18T11:50:23.462+0000] {logging_mixin.py:190} INFO - Found 4788 changed IDs. Syncing metadata...
[2026-07-18T11:50:25.022+0000] {logging_mixin.py:190} INFO - Skipping movie 1728519: could not fetch metadata.
[2026-07-18T11:50:26.969+0000] {logging_mixin.py:190} INFO - Skipping movie 1630284: could not fetch metadata.
[2026-07-18T11:50:27.286+0000] {logging_mixin.py:190} INFO - Skipping movie 1630254: could not fetch metadata.
[2026-07-18T11:50:27.300+0000] {logging_mixin.py:190} INFO - Skipping movie 1286221: could not fetch metadata.
[2026-07-18T11:50:27.568+0000] {logging_mixin.py:190} INFO - Skipping movie 1286238: could not fetch metadata.
[2026-07-18T11:50:27.590+0000] {logging_mixin.py:190} INFO - Skipping movie 950370: could not fetch metadata.
[2026-07-18T11:50:27.864+0000] {logging_mixin.py:190} INFO - Skipping movie 1728622: could not fetch metadata.
[2026-07-18T11:50:28.216+0000] {logging_mixin.py:190} INFO - Skipping movie 1531959: could not fetch metadata.
[2026-07-18T11:50:28.312+0000] {logging_mixin.py:190} INFO - Skipping movie 917635: could not fetch metadata.
[2026-07-18T11:50:28.423+0000] {logging_mixin.py:190} INFO - Skipping movie 893061: could not fetch metadata.
[2026-07-18T11:50:28.583+0000] {logging_mixin.py:190} INFO - Skipping movie 974990: could not fetch metadata.
[2026-07-18T11:50:28.690+0000] {logging_mixin.py:190} INFO - Skipping movie 966801: could not fetch metadata.
[2026-07-18T11:50:30.040+0000] {logging_mixin.py:190} INFO - Skipping movie 1564871: could not fetch metadata.
[2026-07-18T11:50:30.319+0000] {logging_mixin.py:190} INFO - Skipping movie 1597655: could not fetch metadata.
[2026-07-18T11:50:30.583+0000] {logging_mixin.py:190} INFO - Skipping movie 1597677: could not fetch metadata.
[2026-07-18T11:50:30.705+0000] {logging_mixin.py:190} INFO - Skipping movie 1655033: could not fetch metadata.
[2026-07-18T11:50:30.990+0000] {logging_mixin.py:190} INFO - Skipping movie 1720580: could not fetch metadata.
[2026-07-18T11:50:31.138+0000] {logging_mixin.py:190} INFO - Skipping movie 1597665: could not fetch metadata.
[2026-07-18T11:50:31.661+0000] {logging_mixin.py:190} INFO - Skipping movie 1618509: could not fetch metadata.
[2026-07-18T11:50:31.893+0000] {logging_mixin.py:190} INFO - Skipping movie 1720600: could not fetch metadata.
[2026-07-18T11:50:32.043+0000] {logging_mixin.py:190} INFO - Skipping movie 1720608: could not fetch metadata.
[2026-07-18T11:50:32.457+0000] {logging_mixin.py:190} INFO - Skipping movie 1704221: could not fetch metadata.
[2026-07-18T11:50:32.466+0000] {logging_mixin.py:190} INFO - Skipping movie 1188139: could not fetch metadata.
[2026-07-18T11:50:33.149+0000] {logging_mixin.py:190} INFO - Skipping movie 1696071: could not fetch metadata.
[2026-07-18T11:50:33.550+0000] {logging_mixin.py:190} INFO - Skipping movie 1696084: could not fetch metadata.
[2026-07-18T11:50:33.578+0000] {logging_mixin.py:190} INFO - Skipping movie 1696089: could not fetch metadata.
[2026-07-18T11:50:34.043+0000] {logging_mixin.py:190} INFO - Skipping movie 1671529: could not fetch metadata.
[2026-07-18T11:50:34.060+0000] {logging_mixin.py:190} INFO - Skipping movie 1696099: could not fetch metadata.
[2026-07-18T11:50:34.088+0000] {logging_mixin.py:190} INFO - Skipping movie 1696093: could not fetch metadata.
[2026-07-18T11:50:34.215+0000] {logging_mixin.py:190} INFO - Skipping movie 606571: could not fetch metadata.
[2026-07-18T11:50:34.644+0000] {logging_mixin.py:190} INFO - Skipping movie 1515890: could not fetch metadata.
[2026-07-18T11:50:34.839+0000] {logging_mixin.py:190} INFO - Skipping movie 1311101: could not fetch metadata.
[2026-07-18T11:50:36.186+0000] {logging_mixin.py:190} INFO - Skipping movie 663976: could not fetch metadata.
[2026-07-18T11:50:36.193+0000] {logging_mixin.py:190} INFO - Skipping movie 1663386: could not fetch metadata.
[2026-07-18T11:50:36.601+0000] {logging_mixin.py:190} INFO - Skipping movie 1720753: could not fetch metadata.
[2026-07-18T11:50:36.616+0000] {logging_mixin.py:190} INFO - Skipping movie 1704384: could not fetch metadata.
[2026-07-18T11:50:36.924+0000] {logging_mixin.py:190} INFO - Skipping movie 360907: could not fetch metadata.
[2026-07-18T11:50:36.940+0000] {logging_mixin.py:190} INFO - Skipping movie 360906: could not fetch metadata.
[2026-07-18T11:50:36.968+0000] {logging_mixin.py:190} INFO - Skipping movie 1278413: could not fetch metadata.
[2026-07-18T11:50:37.722+0000] {logging_mixin.py:190} INFO - Skipping movie 1589702: could not fetch metadata.
[2026-07-18T11:50:38.534+0000] {logging_mixin.py:190} INFO - Skipping movie 1171955: could not fetch metadata.
[2026-07-18T11:50:39.634+0000] {logging_mixin.py:190} INFO - Skipping movie 1335836: could not fetch metadata.
[2026-07-18T11:50:41.348+0000] {logging_mixin.py:190} INFO - Skipping movie 1729113: could not fetch metadata.
[2026-07-18T11:50:41.531+0000] {logging_mixin.py:190} INFO - Skipping movie 1516127: could not fetch metadata.
[2026-07-18T11:50:41.561+0000] {logging_mixin.py:190} INFO - Skipping movie 1262177: could not fetch metadata.
[2026-07-18T11:50:41.674+0000] {logging_mixin.py:190} INFO - Skipping movie 1401450: could not fetch metadata.
[2026-07-18T11:50:41.721+0000] {logging_mixin.py:190} INFO - Skipping movie 1524289: could not fetch metadata.
[2026-07-18T11:50:43.131+0000] {logging_mixin.py:190} INFO - Skipping movie 1729169: could not fetch metadata.
[2026-07-18T11:50:43.365+0000] {logging_mixin.py:190} INFO - Skipping movie 1254039: could not fetch metadata.
[2026-07-18T11:50:43.976+0000] {logging_mixin.py:190} INFO - Skipping movie 1565357: could not fetch metadata.
[2026-07-18T11:50:44.119+0000] {logging_mixin.py:190} INFO - Skipping movie 860849: could not fetch metadata.
[2026-07-18T11:50:44.162+0000] {logging_mixin.py:190} INFO - Skipping movie 1667438: could not fetch metadata.
[2026-07-18T11:50:44.625+0000] {logging_mixin.py:190} INFO - Skipping movie 1221312: could not fetch metadata.
[2026-07-18T11:50:45.281+0000] {logging_mixin.py:190} INFO - Skipping movie 1389023: could not fetch metadata.
[2026-07-18T11:50:45.378+0000] {logging_mixin.py:190} INFO - Skipping movie 1163949: could not fetch metadata.
[2026-07-18T11:50:46.460+0000] {logging_mixin.py:190} INFO - Skipping movie 1377032: could not fetch metadata.
[2026-07-18T11:50:46.625+0000] {logging_mixin.py:190} INFO - Skipping movie 1377036: could not fetch metadata.
[2026-07-18T11:50:47.332+0000] {logging_mixin.py:190} INFO - Skipping movie 1418012: could not fetch metadata.
[2026-07-18T11:50:47.334+0000] {logging_mixin.py:190} INFO - Skipping movie 1639196: could not fetch metadata.
[2026-07-18T11:50:47.419+0000] {logging_mixin.py:190} INFO - Skipping movie 1319731: could not fetch metadata.
[2026-07-18T11:50:48.036+0000] {logging_mixin.py:190} INFO - Skipping movie 1491794: could not fetch metadata.
[2026-07-18T11:50:49.863+0000] {logging_mixin.py:190} INFO - Skipping movie 1733377: could not fetch metadata.
[2026-07-18T11:50:50.465+0000] {logging_mixin.py:190} INFO - Skipping movie 1549247: could not fetch metadata.
[2026-07-18T11:50:51.649+0000] {logging_mixin.py:190} INFO - Skipping movie 312341: could not fetch metadata.
[2026-07-18T11:50:52.393+0000] {logging_mixin.py:190} INFO - Skipping movie 1704980: could not fetch metadata.
[2026-07-18T11:50:52.926+0000] {logging_mixin.py:190} INFO - Skipping movie 1418298: could not fetch metadata.
[2026-07-18T11:50:52.975+0000] {logging_mixin.py:190} INFO - Skipping movie 1418301: could not fetch metadata.
[2026-07-18T11:50:53.238+0000] {logging_mixin.py:190} INFO - Skipping movie 1516617: could not fetch metadata.
[2026-07-18T11:50:54.223+0000] {logging_mixin.py:190} INFO - Skipping movie 1254504: could not fetch metadata.
[2026-07-18T11:50:54.933+0000] {logging_mixin.py:190} INFO - Skipping movie 1426553: could not fetch metadata.
[2026-07-18T11:50:55.193+0000] {logging_mixin.py:190} INFO - Skipping movie 1590415: could not fetch metadata.
[2026-07-18T11:50:55.798+0000] {logging_mixin.py:190} INFO - Skipping movie 935097: could not fetch metadata.
[2026-07-18T11:50:55.801+0000] {logging_mixin.py:190} INFO - Skipping movie 1655996: could not fetch metadata.
[2026-07-18T11:50:56.816+0000] {logging_mixin.py:190} INFO - Skipping movie 1410255: could not fetch metadata.
[2026-07-18T11:50:57.744+0000] {logging_mixin.py:190} INFO - Skipping movie 1729783: could not fetch metadata.
[2026-07-18T11:50:58.190+0000] {logging_mixin.py:190} INFO - Skipping movie 1729794: could not fetch metadata.
[2026-07-18T11:50:58.569+0000] {logging_mixin.py:190} INFO - Skipping movie 1729819: could not fetch metadata.
[2026-07-18T11:50:58.658+0000] {logging_mixin.py:190} INFO - Skipping movie 984353: could not fetch metadata.
[2026-07-18T11:50:58.937+0000] {logging_mixin.py:190} INFO - Skipping movie 1729840: could not fetch metadata.
[2026-07-18T11:50:59.555+0000] {logging_mixin.py:190} INFO - Skipping movie 754979: could not fetch metadata.
[2026-07-18T11:50:59.625+0000] {logging_mixin.py:190} INFO - Skipping movie 1705281: could not fetch metadata.
[2026-07-18T11:50:59.959+0000] {logging_mixin.py:190} INFO - Skipping movie 1713476: could not fetch metadata.
[2026-07-18T11:50:59.988+0000] {logging_mixin.py:190} INFO - Skipping movie 1705287: could not fetch metadata.
[2026-07-18T11:51:00.706+0000] {logging_mixin.py:190} INFO - Skipping movie 1262938: could not fetch metadata.
[2026-07-18T11:51:01.078+0000] {logging_mixin.py:190} INFO - Skipping movie 1295727: could not fetch metadata.
[2026-07-18T11:51:01.554+0000] {logging_mixin.py:190} INFO - Skipping movie 1262975: could not fetch metadata.
[2026-07-18T11:51:01.825+0000] {logging_mixin.py:190} INFO - Skipping movie 1590682: could not fetch metadata.
[2026-07-18T11:51:02.444+0000] {logging_mixin.py:190} INFO - Skipping movie 1705385: could not fetch metadata.
[2026-07-18T11:51:02.927+0000] {logging_mixin.py:190} INFO - Skipping movie 1729981: could not fetch metadata.
[2026-07-18T11:51:03.256+0000] {logging_mixin.py:190} INFO - Skipping movie 1697219: could not fetch metadata.
[2026-07-18T11:51:03.418+0000] {logging_mixin.py:190} INFO - Skipping movie 1582543: could not fetch metadata.
[2026-07-18T11:51:03.570+0000] {logging_mixin.py:190} INFO - Skipping movie 796121: could not fetch metadata.
[2026-07-18T11:51:03.640+0000] {logging_mixin.py:190} INFO - Skipping movie 1697251: could not fetch metadata.
[2026-07-18T11:51:04.041+0000] {logging_mixin.py:190} INFO - Skipping movie 1582590: could not fetch metadata.
[2026-07-18T11:51:04.043+0000] {logging_mixin.py:190} INFO - Skipping movie 1541632: could not fetch metadata.
[2026-07-18T11:51:04.212+0000] {logging_mixin.py:190} INFO - Skipping movie 1525249: could not fetch metadata.
[2026-07-18T11:51:04.494+0000] {logging_mixin.py:190} INFO - Skipping movie 1582598: could not fetch metadata.
[2026-07-18T11:51:04.778+0000] {logging_mixin.py:190} INFO - Skipping movie 1541646: could not fetch metadata.
[2026-07-18T11:51:05.056+0000] {logging_mixin.py:190} INFO - Skipping movie 517660: could not fetch metadata.
[2026-07-18T11:51:06.088+0000] {logging_mixin.py:190} INFO - Skipping movie 1727864: could not fetch metadata.
[2026-07-18T11:51:06.112+0000] {logging_mixin.py:190} INFO - Skipping movie 1730140: could not fetch metadata.
[2026-07-18T11:51:07.001+0000] {logging_mixin.py:190} INFO - Skipping movie 1476234: could not fetch metadata.
[2026-07-18T11:51:07.181+0000] {logging_mixin.py:190} INFO - Skipping movie 1238602: could not fetch metadata.
[2026-07-18T11:51:07.296+0000] {logging_mixin.py:190} INFO - Skipping movie 1476253: could not fetch metadata.
[2026-07-18T11:51:07.374+0000] {logging_mixin.py:190} INFO - Skipping movie 1517216: could not fetch metadata.
[2026-07-18T11:51:07.397+0000] {logging_mixin.py:190} INFO - Skipping movie 1517222: could not fetch metadata.
[2026-07-18T11:51:08.005+0000] {logging_mixin.py:190} INFO - Skipping movie 1443519: could not fetch metadata.
[2026-07-18T11:51:08.281+0000] {logging_mixin.py:190} INFO - Skipping movie 345808: could not fetch metadata.
[2026-07-18T11:51:08.297+0000] {logging_mixin.py:190} INFO - Skipping movie 1066704: could not fetch metadata.
[2026-07-18T11:51:08.332+0000] {logging_mixin.py:190} INFO - Skipping movie 1427152: could not fetch metadata.
