[2026-07-19T00:21:35.150+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-19T00:21:35.150+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [queued]>
[2026-07-19T00:21:35.150+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [queued]>
[2026-07-19T00:21:35.150+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-19T00:21:35.150+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-18 00:00:00+00:00
[2026-07-19T00:21:35.150+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=30172) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-19T00:21:35.150+0000] {standard_task_runner.py:72} INFO - Started process 30173 to run task
[2026-07-19T00:21:35.150+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-18T00:00:00+00:00', '--job-id', '83', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpdk8p3tda']
[2026-07-19T00:21:35.150+0000] {standard_task_runner.py:105} INFO - Job 83: Subtask incremental_sync_pipeline
[2026-07-19T00:21:35.150+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-19T00:21:35.150+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-18T00:00:00+00:00'
[2026-07-19T00:21:35.150+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-19T00:21:35.150+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-18 → 2026-07-19...
[2026-07-19T00:21:35.150+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-18 -> 2026-07-19
[2026-07-19T00:22:02.411+0000] {logging_mixin.py:190} INFO - SSL error on attempt 1/3 for https://api.themoviedb.org/3/movie/changes: HTTPSConnectionPool(host='api.themoviedb.org', port=443): Max retries exceeded with url: /3/movie/changes?api_key=6f73ac85d32f789d075631f40192f5ab&start_date=2026-07-18&end_date=2026-07-19&page=39 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000)')))
[2026-07-19T03:21:29.692+0000] {job.py:229} INFO - Heartbeat recovered after 10766.70 seconds
[2026-07-19T03:21:30.309+0000] {logging_mixin.py:190} INFO - Found 4139 changed IDs. Syncing metadata...
[2026-07-19T03:21:42.746+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/106530: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-19T03:21:42.748+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/942118: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-19T03:21:42.748+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/1384489: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-19T03:21:42.749+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/270373: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-19T03:21:42.981+0000] {logging_mixin.py:190} INFO - Request error on attempt 1/3 for https://api.themoviedb.org/3/movie/1720354: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[2026-07-19T03:21:47.193+0000] {logging_mixin.py:190} INFO - Skipping movie 1720403: could not fetch metadata.
[2026-07-19T03:21:51.028+0000] {logging_mixin.py:190} INFO - Skipping movie 893066: could not fetch metadata.
[2026-07-19T11:24:21.320+0000] {logging_mixin.py:190} INFO - Skipping movie 1728789: could not fetch metadata.
[2026-07-19T11:24:21.645+0000] {logging_mixin.py:190} INFO - Skipping movie 1696075: could not fetch metadata.
[2026-07-19T11:24:21.725+0000] {logging_mixin.py:190} INFO - Skipping movie 1696071: could not fetch metadata.
[2026-07-19T11:24:22.104+0000] {logging_mixin.py:190} INFO - Skipping movie 1696080: could not fetch metadata.
