[2026-07-19T12:18:57.559+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-19T12:18:58.007+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [queued]>
[2026-07-19T12:18:58.143+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [queued]>
[2026-07-19T12:18:58.149+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-19T12:18:58.270+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-18 00:00:00+00:00
[2026-07-19T12:18:58.326+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=30395) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-19T12:18:58.321+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-18T00:00:00+00:00', '--job-id', '84', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpfu6tmczh']
[2026-07-19T12:18:58.338+0000] {standard_task_runner.py:72} INFO - Started process 30396 to run task
[2026-07-19T12:18:58.340+0000] {standard_task_runner.py:105} INFO - Job 84: Subtask incremental_sync_pipeline
[2026-07-19T12:18:59.338+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-18T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-19T12:19:00.290+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-18T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-18T00:00:00+00:00'
[2026-07-19T12:19:00.315+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-19T12:19:00.600+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-18 → 2026-07-19...
[2026-07-19T12:19:00.717+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-18 -> 2026-07-19
[2026-07-19T12:19:16.847+0000] {logging_mixin.py:190} INFO - Found 4908 changed IDs. Syncing metadata...
[2026-07-19T12:36:40.133+0000] {logging_mixin.py:190} INFO - Skipping movie 1720403: could not fetch metadata.
[2026-07-19T12:36:40.415+0000] {job.py:229} INFO - Heartbeat recovered after 1041.29 seconds
[2026-07-19T12:36:44.096+0000] {logging_mixin.py:190} INFO - Skipping movie 893066: could not fetch metadata.
[2026-07-19T12:36:54.793+0000] {logging_mixin.py:190} INFO - Skipping movie 1728789: could not fetch metadata.
[2026-07-19T12:36:56.964+0000] {logging_mixin.py:190} INFO - Skipping movie 1696071: could not fetch metadata.
[2026-07-19T12:36:57.150+0000] {logging_mixin.py:190} INFO - Skipping movie 1679686: could not fetch metadata.
[2026-07-19T12:36:57.299+0000] {logging_mixin.py:190} INFO - Skipping movie 1696075: could not fetch metadata.
[2026-07-19T12:36:58.044+0000] {logging_mixin.py:190} INFO - Skipping movie 1696084: could not fetch metadata.
[2026-07-19T12:36:58.166+0000] {logging_mixin.py:190} INFO - Skipping movie 1696080: could not fetch metadata.
[2026-07-19T12:36:58.745+0000] {logging_mixin.py:190} INFO - Skipping movie 1696089: could not fetch metadata.
[2026-07-19T12:36:58.993+0000] {logging_mixin.py:190} INFO - Skipping movie 1696093: could not fetch metadata.
[2026-07-19T12:36:59.615+0000] {logging_mixin.py:190} INFO - Skipping movie 1696099: could not fetch metadata.
[2026-07-19T12:36:59.824+0000] {logging_mixin.py:190} INFO - Skipping movie 1696102: could not fetch metadata.
[2026-07-19T12:37:01.371+0000] {logging_mixin.py:190} INFO - Skipping movie 1311115: could not fetch metadata.
[2026-07-19T12:37:02.831+0000] {logging_mixin.py:190} INFO - Skipping movie 1696184: could not fetch metadata.
[2026-07-19T12:37:12.794+0000] {logging_mixin.py:190} INFO - Skipping movie 25279: could not fetch metadata.
[2026-07-19T12:37:13.667+0000] {logging_mixin.py:190} INFO - Skipping movie 1589974: could not fetch metadata.
[2026-07-19T12:37:22.794+0000] {logging_mixin.py:190} INFO - Skipping movie 1614785: could not fetch metadata.
[2026-07-19T12:37:25.574+0000] {logging_mixin.py:190} INFO - Skipping movie 1532947: could not fetch metadata.
[2026-07-19T12:37:31.325+0000] {logging_mixin.py:190} INFO - Skipping movie 1729740: could not fetch metadata.
[2026-07-19T12:37:32.701+0000] {logging_mixin.py:190} INFO - Skipping movie 1733390: could not fetch metadata.
[2026-07-19T12:37:34.443+0000] {logging_mixin.py:190} INFO - Skipping movie 1733392: could not fetch metadata.
[2026-07-19T12:37:35.320+0000] {logging_mixin.py:190} INFO - Skipping movie 1443138: could not fetch metadata.
[2026-07-19T12:37:38.644+0000] {logging_mixin.py:190} INFO - Skipping movie 1733396: could not fetch metadata.
[2026-07-19T12:37:40.550+0000] {logging_mixin.py:190} INFO - Skipping movie 1697219: could not fetch metadata.
[2026-07-19T12:37:41.859+0000] {logging_mixin.py:190} INFO - Skipping movie 1697251: could not fetch metadata.
[2026-07-19T12:37:44.578+0000] {logging_mixin.py:190} INFO - Skipping movie 378403: could not fetch metadata.
[2026-07-19T12:37:53.256+0000] {logging_mixin.py:190} INFO - Skipping movie 1607462: could not fetch metadata.
[2026-07-19T12:37:57.393+0000] {logging_mixin.py:190} INFO - Skipping movie 1632115: could not fetch metadata.
[2026-07-19T12:37:59.459+0000] {logging_mixin.py:190} INFO - Skipping movie 1050553: could not fetch metadata.
[2026-07-19T12:37:59.776+0000] {logging_mixin.py:190} INFO - Skipping movie 1697743: could not fetch metadata.
[2026-07-19T12:38:01.112+0000] {logging_mixin.py:190} INFO - Skipping movie 1632242: could not fetch metadata.
[2026-07-19T12:38:01.424+0000] {logging_mixin.py:190} INFO - Skipping movie 1730559: could not fetch metadata.
