[2026-07-21T13:44:25.003+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-21T13:44:25.047+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-20T00:00:00+00:00 [queued]>
[2026-07-21T13:44:25.083+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-20T00:00:00+00:00 [queued]>
[2026-07-21T13:44:25.087+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 3
[2026-07-21T13:44:25.182+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-20 00:00:00+00:00
[2026-07-21T13:44:25.217+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=33791) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-21T13:44:25.222+0000] {standard_task_runner.py:72} INFO - Started process 33792 to run task
[2026-07-21T13:44:25.223+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-20T00:00:00+00:00', '--job-id', '86', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpcbmxza4t']
[2026-07-21T13:44:25.246+0000] {standard_task_runner.py:105} INFO - Job 86: Subtask incremental_sync_pipeline
[2026-07-21T13:44:25.461+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-20T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-21T13:44:25.815+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-20T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-20T00:00:00+00:00'
[2026-07-21T13:44:25.820+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-21T13:44:25.903+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-19 → 2026-07-21...
[2026-07-21T13:44:26.006+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-19 -> 2026-07-21
[2026-07-21T13:45:10.768+0000] {logging_mixin.py:190} INFO - Found 9226 changed IDs. Syncing metadata...
[2026-07-21T13:45:12.090+0000] {logging_mixin.py:190} INFO - Skipping movie 1671185: could not fetch metadata.
[2026-07-21T13:45:12.694+0000] {logging_mixin.py:190} INFO - Skipping movie 294953: could not fetch metadata.
[2026-07-21T13:45:20.253+0000] {logging_mixin.py:190} INFO - Skipping movie 491851: could not fetch metadata.
[2026-07-21T13:45:22.860+0000] {logging_mixin.py:190} INFO - Skipping movie 1278425: could not fetch metadata.
[2026-07-21T13:45:23.018+0000] {logging_mixin.py:190} INFO - Skipping movie 1081731: could not fetch metadata.
[2026-07-21T13:45:27.483+0000] {logging_mixin.py:190} INFO - Skipping movie 426625: could not fetch metadata.
[2026-07-21T13:45:35.258+0000] {logging_mixin.py:190} INFO - Skipping movie 1246153: could not fetch metadata.
[2026-07-21T13:45:38.114+0000] {logging_mixin.py:190} INFO - Skipping movie 1115416: could not fetch metadata.
[2026-07-21T13:45:38.399+0000] {logging_mixin.py:190} INFO - Skipping movie 1705279: could not fetch metadata.
[2026-07-21T13:45:50.371+0000] {logging_mixin.py:190} INFO - Skipping movie 1443851: could not fetch metadata.
[2026-07-21T13:45:53.242+0000] {logging_mixin.py:190} INFO - Skipping movie 1570048: could not fetch metadata.
[2026-07-21T13:45:56.325+0000] {logging_mixin.py:190} INFO - Skipping movie 887237: could not fetch metadata.
[2026-07-21T13:45:56.853+0000] {logging_mixin.py:190} INFO - Skipping movie 1444253: could not fetch metadata.
[2026-07-21T13:45:59.095+0000] {logging_mixin.py:190} INFO - Skipping movie 1477194: could not fetch metadata.
[2026-07-21T13:45:59.684+0000] {logging_mixin.py:190} INFO - Skipping movie 1706649: could not fetch metadata.
[2026-07-21T13:46:00.642+0000] {logging_mixin.py:190} INFO - Skipping movie 1641174: could not fetch metadata.
[2026-07-21T13:46:06.058+0000] {logging_mixin.py:190} INFO - Skipping movie 756834: could not fetch metadata.
[2026-07-21T13:46:08.119+0000] {logging_mixin.py:190} INFO - Skipping movie 1707276: could not fetch metadata.
[2026-07-21T13:46:13.805+0000] {logging_mixin.py:190} INFO - Skipping movie 1019696: could not fetch metadata.
[2026-07-21T13:46:14.125+0000] {logging_mixin.py:190} INFO - Skipping movie 1019714: could not fetch metadata.
[2026-07-21T13:46:14.293+0000] {logging_mixin.py:190} INFO - Skipping movie 1150787: could not fetch metadata.
[2026-07-21T13:46:14.591+0000] {logging_mixin.py:190} INFO - Skipping movie 1019719: could not fetch metadata.
[2026-07-21T13:46:14.607+0000] {logging_mixin.py:190} INFO - Skipping movie 1019724: could not fetch metadata.
[2026-07-21T13:46:14.714+0000] {logging_mixin.py:190} INFO - Skipping movie 1019726: could not fetch metadata.
[2026-07-21T13:46:15.047+0000] {logging_mixin.py:190} INFO - Skipping movie 1019770: could not fetch metadata.
[2026-07-21T13:46:15.208+0000] {logging_mixin.py:190} INFO - Skipping movie 1019785: could not fetch metadata.
[2026-07-21T13:46:15.267+0000] {logging_mixin.py:190} INFO - Skipping movie 1019792: could not fetch metadata.
