[2026-07-22T05:52:22.292+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-22T05:52:22.292+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-21T00:00:00+00:00 [queued]>
[2026-07-22T05:52:22.292+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-21T00:00:00+00:00 [queued]>
[2026-07-22T05:52:22.292+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-07-22T05:52:22.292+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-07-21 00:00:00+00:00
[2026-07-22T05:52:22.292+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=40117) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-07-22T05:52:22.292+0000] {standard_task_runner.py:72} INFO - Started process 40118 to run task
[2026-07-22T05:52:22.292+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-07-21T00:00:00+00:00', '--job-id', '88', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpzw4q7k8i']
[2026-07-22T05:52:22.292+0000] {standard_task_runner.py:105} INFO - Job 88: Subtask incremental_sync_pipeline
[2026-07-22T05:52:22.292+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-07-21T00:00:00+00:00 [running]> on host d8c53ec118ae
[2026-07-22T05:52:22.292+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-07-21T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-07-21T00:00:00+00:00'
[2026-07-22T05:52:22.292+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-22T05:52:22.292+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-21 → 2026-07-22...
[2026-07-22T05:52:22.292+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-21 -> 2026-07-22
[2026-07-22T05:52:36.895+0000] {logging_mixin.py:190} INFO - Found 5377 changed IDs. Syncing metadata...
[2026-07-22T05:52:39.769+0000] {logging_mixin.py:190} INFO - Skipping movie 1081731: could not fetch metadata.
[2026-07-22T05:52:39.950+0000] {logging_mixin.py:190} INFO - Skipping movie 688423: could not fetch metadata.
[2026-07-22T05:52:40.675+0000] {logging_mixin.py:190} INFO - Skipping movie 1704512: could not fetch metadata.
[2026-07-22T05:52:40.729+0000] {logging_mixin.py:190} INFO - Skipping movie 1704529: could not fetch metadata.
[2026-07-22T05:52:40.780+0000] {logging_mixin.py:190} INFO - Skipping movie 1704480: could not fetch metadata.
[2026-07-22T05:52:40.957+0000] {logging_mixin.py:190} INFO - Skipping movie 1704545: could not fetch metadata.
[2026-07-22T05:52:41.491+0000] {logging_mixin.py:190} INFO - Skipping movie 1704499: could not fetch metadata.
[2026-07-22T05:52:43.499+0000] {logging_mixin.py:190} INFO - Skipping movie 1704819: could not fetch metadata.
[2026-07-22T05:52:43.509+0000] {logging_mixin.py:190} INFO - Skipping movie 1704821: could not fetch metadata.
[2026-07-22T05:52:44.155+0000] {logging_mixin.py:190} INFO - Skipping movie 1115118: could not fetch metadata.
[2026-07-22T05:52:44.265+0000] {logging_mixin.py:190} INFO - Skipping movie 1508345: could not fetch metadata.
[2026-07-22T05:52:44.322+0000] {logging_mixin.py:190} INFO - Skipping movie 590879: could not fetch metadata.
[2026-07-22T05:52:44.373+0000] {logging_mixin.py:190} INFO - Skipping movie 1016698: could not fetch metadata.
[2026-07-22T05:52:44.568+0000] {logging_mixin.py:190} INFO - Skipping movie 1311798: could not fetch metadata.
[2026-07-22T05:52:45.237+0000] {logging_mixin.py:190} INFO - Skipping movie 1705108: could not fetch metadata.
[2026-07-22T05:52:45.862+0000] {logging_mixin.py:190} INFO - Skipping movie 1705335: could not fetch metadata.
[2026-07-22T05:52:45.863+0000] {logging_mixin.py:190} INFO - Skipping movie 1705350: could not fetch metadata.
[2026-07-22T05:52:46.074+0000] {logging_mixin.py:190} INFO - Skipping movie 1705371: could not fetch metadata.
[2026-07-22T05:52:46.096+0000] {logging_mixin.py:190} INFO - Skipping movie 1705374: could not fetch metadata.
[2026-07-22T05:52:46.355+0000] {logging_mixin.py:190} INFO - Skipping movie 1309394: could not fetch metadata.
