[2026-08-04T01:01:41.096+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-08-04T01:01:41.248+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [queued]>
[2026-08-04T01:01:41.308+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [queued]>
[2026-08-04T01:01:41.311+0000] {taskinstance.py:2856} INFO - Starting attempt 2 of 3
[2026-08-04T01:01:41.409+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-08-03 00:00:00+00:00
[2026-08-04T01:01:41.465+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=2284) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-04T01:01:41.475+0000] {standard_task_runner.py:72} INFO - Started process 2287 to run task
[2026-08-04T01:01:41.458+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-08-03T00:00:00+00:00', '--job-id', '156', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpifpivj_d']
[2026-08-04T01:01:41.480+0000] {standard_task_runner.py:105} INFO - Job 156: Subtask incremental_sync_pipeline
[2026-08-04T01:01:41.849+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [running]> on host bf737cb27ceb
[2026-08-04T01:01:42.715+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-08-03T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-03T00:00:00+00:00'
[2026-08-04T01:01:42.724+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-08-04T01:01:42.974+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-22 → 2026-08-04...
[2026-08-04T01:01:43.066+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-22 -> 2026-07-28
[2026-08-04T01:02:38.511+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-29 -> 2026-08-04
[2026-08-04T01:03:49.823+0000] {logging_mixin.py:190} INFO - Found 44209 changed IDs. Syncing metadata...
[2026-08-04T01:04:02.326+0000] {logging_mixin.py:190} INFO - Skipping movie 1573038: could not fetch metadata.
[2026-08-04T01:04:02.611+0000] {logging_mixin.py:190} INFO - Skipping movie 1704116: could not fetch metadata.
[2026-08-04T01:04:03.029+0000] {logging_mixin.py:190} INFO - Skipping movie 1573050: could not fetch metadata.
[2026-08-04T01:04:04.086+0000] {logging_mixin.py:190} INFO - Skipping movie 1573075: could not fetch metadata.
[2026-08-04T01:04:12.571+0000] {logging_mixin.py:190} INFO - Skipping movie 1573195: could not fetch metadata.
[2026-08-04T01:04:13.381+0000] {logging_mixin.py:190} INFO - Skipping movie 1704275: could not fetch metadata.
[2026-08-04T01:04:19.077+0000] {logging_mixin.py:190} INFO - Skipping movie 1573288: could not fetch metadata.
[2026-08-04T01:04:29.135+0000] {logging_mixin.py:190} INFO - Skipping movie 1180271: could not fetch metadata.
[2026-08-04T01:04:45.553+0000] {logging_mixin.py:190} INFO - Skipping movie 1311636: could not fetch metadata.
[2026-08-04T01:04:50.187+0000] {logging_mixin.py:190} INFO - Skipping movie 1442836: could not fetch metadata.
[2026-08-04T01:04:50.835+0000] {logging_mixin.py:190} INFO - Skipping movie 1704988: could not fetch metadata.
[2026-08-04T01:04:51.324+0000] {logging_mixin.py:190} INFO - Skipping movie 1705016: could not fetch metadata.
[2026-08-04T01:04:51.950+0000] {logging_mixin.py:190} INFO - Skipping movie 1705041: could not fetch metadata.
[2026-08-04T01:04:52.014+0000] {logging_mixin.py:190} INFO - Skipping movie 1705047: could not fetch metadata.
[2026-08-04T01:04:53.600+0000] {logging_mixin.py:190} INFO - Skipping movie 1705108: could not fetch metadata.
[2026-08-04T01:04:57.532+0000] {logging_mixin.py:190} INFO - Skipping movie 1574214: could not fetch metadata.
[2026-08-04T01:05:03.464+0000] {logging_mixin.py:190} INFO - Skipping movie 1574414: could not fetch metadata.
[2026-08-04T01:05:04.999+0000] {logging_mixin.py:190} INFO - Skipping movie 263729: could not fetch metadata.
[2026-08-04T01:05:05.238+0000] {logging_mixin.py:190} INFO - Skipping movie 1443379: could not fetch metadata.
