[2026-08-04T03:01:24.507+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-08-04T03:01:24.608+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [queued]>
[2026-08-04T03:01:24.650+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [queued]>
[2026-08-04T03:01:24.653+0000] {taskinstance.py:2856} INFO - Starting attempt 3 of 3
[2026-08-04T03:01:24.714+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): incremental_sync_pipeline> on 2026-08-03 00:00:00+00:00
[2026-08-04T03:01:24.750+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3109) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-08-04T03:01:24.745+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tmdb_incremental_sync', 'incremental_sync_pipeline', 'scheduled__2026-08-03T00:00:00+00:00', '--job-id', '157', '--raw', '--subdir', 'DAGS_FOLDER/tmdb_incremental_sync.py', '--cfg-path', '/tmp/tmpyz8va45s']
[2026-08-04T03:01:24.756+0000] {standard_task_runner.py:72} INFO - Started process 3110 to run task
[2026-08-04T03:01:24.757+0000] {standard_task_runner.py:105} INFO - Job 157: Subtask incremental_sync_pipeline
[2026-08-04T03:01:25.065+0000] {task_command.py:467} INFO - Running <TaskInstance: tmdb_incremental_sync.incremental_sync_pipeline scheduled__2026-08-03T00:00:00+00:00 [running]> on host bf737cb27ceb
[2026-08-04T03:01:25.765+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='tmdb_incremental_sync' AIRFLOW_CTX_TASK_ID='incremental_sync_pipeline' AIRFLOW_CTX_EXECUTION_DATE='2026-08-03T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-03T00:00:00+00:00'
[2026-08-04T03:01:25.774+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-08-04T03:01:26.022+0000] {logging_mixin.py:190} INFO - Starting incremental sync for 2026-07-22 → 2026-08-04...
[2026-08-04T03:01:26.078+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-22 -> 2026-07-28
[2026-08-04T03:02:16.248+0000] {logging_mixin.py:190} INFO - Fetching changes: 2026-07-29 -> 2026-08-04
[2026-08-04T03:03:54.387+0000] {logging_mixin.py:190} INFO - Found 44478 changed IDs. Syncing metadata...
[2026-08-04T03:04:08.831+0000] {logging_mixin.py:190} INFO - Skipping movie 1573038: could not fetch metadata.
[2026-08-04T03:04:09.030+0000] {logging_mixin.py:190} INFO - Skipping movie 1704116: could not fetch metadata.
[2026-08-04T03:04:09.684+0000] {logging_mixin.py:190} INFO - Skipping movie 1573050: could not fetch metadata.
[2026-08-04T03:04:11.786+0000] {logging_mixin.py:190} INFO - Skipping movie 1573075: could not fetch metadata.
[2026-08-04T03:04:21.514+0000] {logging_mixin.py:190} INFO - Skipping movie 1573195: could not fetch metadata.
[2026-08-04T03:04:22.024+0000] {logging_mixin.py:190} INFO - Skipping movie 1704275: could not fetch metadata.
[2026-08-04T03:04:27.836+0000] {logging_mixin.py:190} INFO - Skipping movie 1573288: could not fetch metadata.
[2026-08-04T03:04:38.513+0000] {logging_mixin.py:190} INFO - Skipping movie 1180271: could not fetch metadata.
[2026-08-04T03:04:59.697+0000] {logging_mixin.py:190} INFO - Skipping movie 1311636: could not fetch metadata.
[2026-08-04T03:05:06.638+0000] {logging_mixin.py:190} INFO - Skipping movie 1442836: could not fetch metadata.
[2026-08-04T03:05:07.651+0000] {logging_mixin.py:190} INFO - Skipping movie 1704988: could not fetch metadata.
[2026-08-04T03:05:07.906+0000] {logging_mixin.py:190} INFO - Skipping movie 1705016: could not fetch metadata.
[2026-08-04T03:05:09.471+0000] {logging_mixin.py:190} INFO - Skipping movie 1705047: could not fetch metadata.
[2026-08-04T03:05:09.546+0000] {logging_mixin.py:190} INFO - Skipping movie 1705041: could not fetch metadata.
[2026-08-04T03:05:11.295+0000] {logging_mixin.py:190} INFO - Skipping movie 1705108: could not fetch metadata.
[2026-08-04T03:05:15.390+0000] {logging_mixin.py:190} INFO - Skipping movie 1574214: could not fetch metadata.
[2026-08-04T03:05:22.664+0000] {logging_mixin.py:190} INFO - Skipping movie 1574414: could not fetch metadata.
[2026-08-04T03:05:23.786+0000] {logging_mixin.py:190} INFO - Skipping movie 263729: could not fetch metadata.
[2026-08-04T03:05:24.123+0000] {logging_mixin.py:190} INFO - Skipping movie 1443379: could not fetch metadata.
[2026-08-04T03:05:25.668+0000] {logging_mixin.py:190} INFO - Skipping movie 1705567: could not fetch metadata.
[2026-08-04T03:05:26.385+0000] {logging_mixin.py:190} INFO - Skipping movie 1443440: could not fetch metadata.
[2026-08-04T03:05:26.848+0000] {logging_mixin.py:190} INFO - Skipping movie 1574522: could not fetch metadata.
[2026-08-04T03:05:26.975+0000] {logging_mixin.py:190} INFO - Skipping movie 1574525: could not fetch metadata.
[2026-08-04T03:05:27.395+0000] {logging_mixin.py:190} INFO - Skipping movie 1181328: could not fetch metadata.
[2026-08-04T03:05:29.959+0000] {logging_mixin.py:190} INFO - Skipping movie 1443529: could not fetch metadata.
[2026-08-04T03:05:33.895+0000] {logging_mixin.py:190} INFO - Skipping movie 657201: could not fetch metadata.
[2026-08-04T03:05:37.090+0000] {logging_mixin.py:190} INFO - Skipping movie 1705883: could not fetch metadata.
[2026-08-04T03:05:38.254+0000] {logging_mixin.py:190} INFO - Skipping movie 1574841: could not fetch metadata.
[2026-08-04T03:05:39.417+0000] {logging_mixin.py:190} INFO - Skipping movie 1705946: could not fetch metadata.
[2026-08-04T03:05:46.522+0000] {logging_mixin.py:190} INFO - Skipping movie 1575051: could not fetch metadata.
[2026-08-04T03:05:46.910+0000] {logging_mixin.py:190} INFO - Skipping movie 1443995: could not fetch metadata.
[2026-08-04T03:05:48.130+0000] {logging_mixin.py:190} INFO - Skipping movie 1312982: could not fetch metadata.
[2026-08-04T03:05:48.155+0000] {logging_mixin.py:190} INFO - Skipping movie 1312985: could not fetch metadata.
[2026-08-04T03:05:48.400+0000] {logging_mixin.py:190} INFO - Skipping movie 1312984: could not fetch metadata.
[2026-08-04T03:05:48.433+0000] {logging_mixin.py:190} INFO - Skipping movie 1312986: could not fetch metadata.
[2026-08-04T03:05:52.948+0000] {logging_mixin.py:190} INFO - Skipping movie 1444206: could not fetch metadata.
[2026-08-04T03:05:54.062+0000] {logging_mixin.py:190} INFO - Skipping movie 1706390: could not fetch metadata.
